Keuwl Accelerometer Data File
2019-04-16 00-52-26

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,-0.060971,-0.149279,1.026834,1.039418,8.924668,247.783035
0.0049744,0.021325,-0.095199,1.015024,1.019701,5.490051,282.626099
0.0099487,-0.011851,-0.096950,0.993996,0.998783,5.611993,263.030945
0.0149231,0.007471,-0.079938,1.037982,1.041082,4.423016,275.339142
0.0198975,-0.036470,-0.100156,1.041399,1.046840,5.843987,249.991684
0.0248718,-0.020328,-0.101781,1.074359,1.079361,5.518107,258.705383
0.0298462,-0.035249,-0.105944,1.027280,1.033330,6.203018,251.596863
0.0348206,-0.041493,-0.115727,0.974785,0.982507,7.188237,250.275269
0.0397949,-0.077171,-0.108754,0.938487,0.947914,8.087187,234.640778
0.0447693,-0.020588,-0.103211,0.965066,0.970788,6.223717,258.719116
0.0497437,0.012027,-0.098888,0.995497,1.000468,5.714397,276.934143
0.0547180,0.014509,-0.080333,1.005318,1.008627,4.642284,280.237854
0.0596924,-0.016544,-0.101178,1.021468,1.026600,5.731384,260.713745
0.0646667,-0.044075,-0.090739,1.013742,1.018749,5.682789,244.092789
0.0696411,-0.067582,-0.091016,0.980863,0.987392,6.592730,233.405090
0.0746155,-0.079643,-0.089901,0.966493,0.973927,7.083770,228.462402
0.0795898,-0.066610,-0.095021,1.004839,1.011517,6.587552,234.969604
0.0845642,-0.038517,-0.113175,1.022807,1.029770,6.666710,251.204849
0.0895386,-0.026438,-0.100590,1.013023,1.018348,5.861938,255.274185
0.0945129,-0.074205,-0.075445,0.985148,0.990816,6.131046,225.474625
0.0994873,-0.091361,-0.074701,0.987788,0.994813,6.812990,219.270966
0.1044617,-0.028948,-0.090657,1.022322,1.026742,5.318282,252.290894
0.1094360,-0.006146,-0.104390,1.005980,1.011401,5.934485,266.630829
0.1144104,-0.053925,-0.100851,0.991358,0.997932,6.580553,241.866501
0.1193848,-0.101517,-0.133591,1.019517,1.033232,9.345652,232.768600
0.1243591,-0.059646,-0.166280,1.018519,1.033725,9.839651,250.266663
0.1293335,-0.013352,-0.167884,1.001574,1.015635,9.544993,265.452820
0.1343078,-0.061394,-0.123425,1.011289,1.020641,7.762303,243.553207
