Keuwl Accelerometer Data File
2019-04-14 18-30-09

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.5471801,-0.038586,0.798707,0.394302,0.891569,63.752068,92.765816
0.5521545,0.001401,0.780430,0.448167,0.899959,60.133190,89.897110
0.5571289,-0.045002,0.769390,0.405360,0.870806,62.257442,93.347427
0.5621033,-0.094331,0.775612,0.366544,0.863033,64.867325,96.934319
0.5670776,0.017038,0.810529,0.426748,0.916167,62.238159,88.795761
0.5720520,-0.036942,0.823279,0.382837,0.908690,65.082909,92.569206
0.5770264,-0.057875,0.826088,0.325348,0.889732,68.551186,94.007507
0.5820007,-0.008724,0.790278,0.431016,0.900217,61.393475,90.632500
0.5869751,-0.050597,0.803780,0.483736,0.939481,59.009392,93.601921
0.5919494,-0.065916,0.830814,0.429685,0.937670,62.725925,94.536301
0.5969238,-0.037147,0.805631,0.390132,0.895893,64.184990,92.639977
0.6018981,0.006821,0.788819,0.374718,0.873324,64.591408,89.504601
0.6068726,0.004204,0.791530,0.356648,0.868179,65.744888,89.695671
0.6118469,0.000572,0.797747,0.365592,0.877529,65.378944,89.958893
0.6168213,-0.069039,0.751715,0.408755,0.858442,61.565155,95.247467
0.6217957,-0.030023,0.746836,0.473615,0.884860,57.639603,92.302063
0.6267700,-0.024385,0.792807,0.441110,0.907587,60.920391,91.761703
0.6317444,-0.041020,0.836392,0.348435,0.906995,67.408119,92.807755
0.6367187,-0.045280,0.856841,0.321923,0.916439,69.434624,93.025009
0.6416931,-0.032107,0.831840,0.361297,0.907483,66.538589,92.210396
0.6466674,-0.008661,0.788769,0.412423,0.890126,62.397743,90.629082
0.6516418,-0.011812,0.742857,0.438714,0.862813,59.438057,90.910965
0.6566162,-0.005732,0.745061,0.420866,0.855732,60.539753,90.440765
0.6615906,-0.008171,0.767170,0.425600,0.877355,60.981327,90.610199
0.6665649,-0.015106,0.770483,0.443791,0.889282,60.063217,91.123215
0.6715393,-0.038494,0.784840,0.426632,0.894131,61.500778,92.807922
0.6765137,-0.031558,0.815989,0.379214,0.900354,65.090668,92.214798
0.6814880,-0.040692,0.845268,0.303807,0.899129,70.251610,92.756119
0.6864624,-0.033093,0.832663,0.258360,0.872452,72.774620,92.275963
0.6914368,0.007458,0.756571,0.383313,0.848166,63.132313,89.435196
0.6964111,-0.025850,0.713424,0.522799,0.884851,53.783833,92.075111
0.7013854,-0.076407,0.750171,0.515702,0.913533,55.631481,95.815720
0.7063599,-0.035028,0.786011,0.430901,0.897060,61.291836,92.551682
0.7113342,0.018863,0.801304,0.358319,0.877973,65.913185,88.651505
0.7163086,-0.045969,0.827253,0.327779,0.891011,68.415474,93.180573
0.7212829,-0.044030,0.849868,0.341413,0.916939,68.140015,92.965706
0.7262573,-0.020571,0.824454,0.381855,0.908824,65.155029,91.429268
0.7312316,0.001832,0.773863,0.391669,0.867336,63.155117,89.864342
0.7362061,0.005945,0.753328,0.441886,0.873385,59.605831,89.547859
0.7411804,-0.001028,0.738415,0.491415,0.886988,56.356247,90.079773
0.7461548,0.009175,0.767841,0.445454,0.887746,59.882095,89.315361
0.7511292,-0.040483,0.780287,0.402896,0.879097,62.722130,92.969986
0.7561035,-0.083489,0.805876,0.318198,0.870434,68.557816,95.914787
0.7610779,-0.147345,0.812104,0.299293,0.877952,70.068321,100.283630
0.7660522,-0.215409,0.766416,0.344825,0.867582,66.580788,105.698540
0.7710266,-0.075866,0.747328,0.383643,0.843467,62.945335,95.796616
0.7760009,0.006399,0.764069,0.420749,0.872280,61.160629,89.520164
0.7809753,0.028993,0.791031,0.473615,0.922432,59.106651,87.900902
0.7859496,-0.081209,0.794502,0.425873,0.905095,61.931408,95.836151
0.7909241,-0.058293,0.800523,0.336092,0.870169,67.279427,94.164841
0.7958984,-0.018673,0.807630,0.366178,0.886962,65.616295,91.324478
0.8008728,-0.044602,0.794862,0.450391,0.914684,60.501503,93.211670
0.8058472,-0.042081,0.774339,0.414848,0.879472,61.855228,93.110619
0.8108215,-0.008323,0.754517,0.370845,0.840768,63.827290,90.632004
0.8157959,-0.046080,0.742674,0.408760,0.848983,61.218552,93.550400
0.8207702,-0.030334,0.755775,0.434620,0.872359,60.118191,92.298409
0.8257446,-0.015999,0.755867,0.424978,0.867293,60.659065,91.212578
0.8307189,-0.046227,0.766253,0.393767,0.862747,62.844261,93.452431
0.8356934,-0.050065,0.793987,0.367741,0.876445,65.191742,93.607994
0.8406677,-0.033660,0.807568,0.355866,0.883142,66.237000,92.386719
0.8456421,-0.019872,0.795532,0.356063,0.871807,65.894379,91.430939
0.8506164,-0.044745,0.785170,0.374302,0.870974,64.548218,93.261635
0.8555908,-0.040580,0.781617,0.394734,0.876577,63.236198,92.971992
0.8605652,-0.032090,0.762000,0.432306,0.876677,60.454212,92.411476
0.8655395,-0.037361,0.753846,0.474267,0.891409,57.856468,92.837318
0.8705139,-0.076575,0.772190,0.491961,0.918785,57.625729,95.663315
0.8754882,-0.055817,0.817103,0.434434,0.927095,62.056747,93.907829
0.8804626,-0.009036,0.828950,0.347053,0.898714,67.283852,90.624496
0.8854370,0.000700,0.821604,0.306364,0.876865,69.550255,89.951187
0.8904114,-0.011698,0.814070,0.318896,0.874380,68.610191,90.823303
0.8953857,-0.036822,0.791577,0.379219,0.878497,64.426529,92.663307
0.9003601,-0.051273,0.766564,0.444773,0.887734,59.932472,93.826653
0.9053344,-0.027685,0.777139,0.451096,0.898999,59.882465,92.040268
0.9103088,-0.007216,0.816275,0.401538,0.909720,63.807629,90.506462
0.9152832,-0.029340,0.836964,0.386453,0.922343,65.229095,92.007706
0.9202576,-0.064099,0.816852,0.391243,0.907980,64.475723,94.486870
0.9252319,-0.071161,0.808145,0.384977,0.897981,64.614006,95.032188
0.9302062,-0.086879,0.800012,0.387579,0.893188,64.282883,96.197845
0.9351807,-0.095410,0.792662,0.369942,0.879928,65.138680,96.863487
0.9401550,-0.072435,0.782970,0.375332,0.871300,64.483406,95.285561
0.9451294,-0.058627,0.789125,0.434942,0.902957,61.204365,94.248932
0.9501037,-0.079623,0.774727,0.481472,0.915618,58.274960,95.867973
0.9550781,-0.046434,0.818545,0.392902,0.909144,64.394844,93.246788
0.9600524,-0.014781,0.833708,0.318868,0.892729,69.072662,91.015724
0.9650269,-0.067048,0.813413,0.351798,0.888762,66.682289,94.712151
0.9700012,-0.088201,0.800250,0.393453,0.896094,63.955090,96.289558
0.9749756,-0.051667,0.798842,0.350909,0.874045,66.329483,93.700569
0.9799500,-0.035515,0.781995,0.361050,0.862053,65.239510,92.600365
0.9849243,-0.054355,0.744640,0.468639,0.881513,57.884319,94.174873
0.9898987,-0.058965,0.781211,0.456706,0.906834,59.759754,94.316429
0.9948730,-0.070688,0.837218,0.352727,0.911233,67.226616,94.826164
0.9998474,-0.074424,0.848809,0.339216,0.917106,68.291962,95.010933
1.0048218,-0.060114,0.813914,0.393275,0.905944,64.271614,94.224098
1.0097961,-0.073429,0.786344,0.398634,0.884668,63.217636,95.334808
1.0147705,-0.069951,0.804130,0.366231,0.886366,65.595062,94.971619
1.0197449,-0.048040,0.793455,0.406512,0.892822,62.915024,93.464729
1.0247192,-0.043832,0.758307,0.461029,0.888537,58.744030,93.308159
1.0296936,-0.059491,0.780438,0.421272,0.888871,61.709648,94.359070
1.0346680,-0.055751,0.827320,0.382517,0.913174,65.235664,93.855209
