Keuwl Accelerometer Data File
2019-04-14 17-21-24

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
4.4470825,-0.017600,0.895272,0.199189,0.917332,77.458954,91.126205
4.4520569,-0.045490,0.822985,0.180996,0.843880,77.614922,93.163780
4.4570313,-0.031275,0.787563,0.215724,0.817173,74.693123,92.274086
4.4620056,0.034080,0.817306,0.191187,0.840062,76.844925,87.612297
4.4669795,-0.001554,0.831361,0.190878,0.852994,77.069199,90.107086
4.4719543,-0.010085,0.858829,0.174025,0.876341,78.545990,90.672806
4.4769282,-0.011523,0.802780,0.171584,0.820993,77.936478,90.822334
4.4819031,-0.046602,0.809137,0.202928,0.835497,75.943245,93.296310
4.4868774,-0.034874,0.882883,0.189988,0.903767,77.864861,92.262039
4.4918518,-0.052861,0.902706,0.197003,0.925463,77.709412,93.351341
4.4968262,-0.045524,0.895660,0.205731,0.920111,77.079819,92.909714
4.5018005,-0.008664,0.880454,0.198596,0.902615,77.289627,90.563782
4.5067749,-0.028352,0.830073,0.197182,0.853643,76.644699,91.956261
4.5117488,0.001848,0.814079,0.184302,0.834683,77.243713,89.869949
4.5167236,0.005497,0.795005,0.189036,0.817189,76.624893,89.603844
4.5216975,-0.003745,0.791416,0.186436,0.813088,76.744530,90.271156
4.5266724,-0.007647,0.830140,0.191800,0.852044,76.990875,90.527740
4.5316467,-0.018488,0.827154,0.205305,0.852453,76.063881,91.280418
4.5366211,-0.010927,0.843743,0.216314,0.871099,75.621689,90.741966
4.5415955,0.010687,0.889004,0.209840,0.913496,76.719940,89.311241
4.5465698,-0.025355,0.881127,0.200377,0.903980,77.193398,91.648277
4.5515442,-0.036360,0.828011,0.200763,0.852778,76.383492,92.514366
4.5565181,-0.011076,0.770810,0.195642,0.795328,75.759689,90.823257
4.5614929,-0.026287,0.785563,0.204314,0.812123,75.428993,91.916534
4.5664668,0.013123,0.868981,0.189170,0.889430,77.720139,89.134796
4.5714417,0.017351,0.861835,0.198369,0.884540,77.040504,88.846649
4.5764160,0.026004,0.816182,0.192419,0.838960,76.740921,88.175163
4.5813904,0.003484,0.845230,0.198066,0.868133,76.811752,89.763817
4.5863647,-0.075530,0.828205,0.195438,0.854298,76.775284,95.210815
4.5913391,-0.029057,0.842546,0.207361,0.868175,76.181503,91.975189
4.5963135,-0.011700,0.872117,0.218313,0.899102,75.947441,90.768608
4.6012874,-0.024857,0.888878,0.213175,0.914421,76.518829,91.601852
4.6062622,-0.016516,0.900340,0.182906,0.918880,78.518372,91.050896
4.6112361,-0.040577,0.813315,0.200277,0.838594,76.182777,92.856140
4.6162109,-0.013417,0.774954,0.191687,0.798422,76.108612,90.991890
4.6211853,-0.042941,0.850258,0.195751,0.873557,77.050911,92.891167
4.6261597,-0.030227,0.878314,0.178571,0.896792,78.514359,91.971024
4.6311340,-0.007209,0.849745,0.176549,0.867922,78.263199,90.486099
4.6361079,0.049705,0.838886,0.207026,0.865483,76.160477,86.609093
4.6410828,0.028779,0.855981,0.206272,0.880954,76.458694,88.074402
4.6460567,-0.080571,0.884517,0.195213,0.909379,77.604050,95.204758
4.6510139,-0.054355,0.879071,0.197490,0.902620,77.361641,93.538200
4.6559887,-0.063082,0.790247,0.200043,0.817610,75.837814,94.564003
4.6609626,0.018457,0.831016,0.187991,0.852214,77.256233,88.727676
4.6659374,-0.029331,0.852994,0.193354,0.875126,77.235489,91.969376
4.6709113,-0.048041,0.822502,0.172284,0.841724,78.189209,93.342766
4.6758862,-0.016956,0.858236,0.187346,0.878610,77.688316,91.131821
4.6808605,-0.016936,0.835059,0.200617,0.858986,76.493805,91.161835
4.6858344,0.007762,0.871350,0.159931,0.885940,79.599869,89.489647
4.6908092,-0.039898,0.884720,0.154355,0.898970,80.113220,92.582130
4.6957831,-0.039234,0.829590,0.142327,0.842624,80.275612,92.707703
4.7007580,-0.043498,0.835242,0.163664,0.852237,78.928101,92.981148
4.7057319,-0.044400,0.875431,0.165238,0.891995,79.324547,92.903419
4.7107067,-0.034804,0.864117,0.154795,0.878562,79.852005,92.306473
4.7156806,-0.046977,0.859123,0.164618,0.876012,79.168755,93.129837
4.7206554,-0.053692,0.849703,0.178721,0.869953,78.144913,93.615662
4.7256298,-0.061438,0.829461,0.190869,0.853352,77.075371,94.236153
4.7306037,-0.005558,0.855058,0.168626,0.871545,78.844093,90.372398
4.7355785,-0.033067,0.844382,0.183980,0.864825,77.717255,92.242622
4.7405524,-0.030791,0.825357,0.177741,0.844840,77.855148,92.136520
4.7455273,-0.042693,0.845869,0.177409,0.865327,78.169319,92.889435
4.7505012,-0.083928,0.849767,0.183186,0.873330,77.891930,95.640579
4.7554760,-0.060108,0.866542,0.188677,0.888880,77.744949,93.967995
4.7604499,-0.019328,0.871681,0.184655,0.891235,78.042282,91.270210
4.7654247,-0.039506,0.859308,0.192746,0.881545,77.370499,92.632301
4.7703991,-0.037506,0.863941,0.188663,0.885096,77.692665,92.485809
4.7753730,-0.017957,0.856584,0.178170,0.875102,78.252487,91.200974
4.7803478,-0.042012,0.828128,0.194362,0.851667,76.808067,92.904213
4.7853217,-0.005414,0.855010,0.175874,0.872928,78.376701,90.362831
4.7902966,-0.028500,0.826835,0.176633,0.845971,77.948341,91.974144
4.7952704,-0.068262,0.825048,0.176607,0.846495,77.957741,94.729691
4.8002453,-0.048800,0.860580,0.189111,0.882464,77.625603,93.245544
4.8052192,-0.036089,0.847365,0.203013,0.872092,76.538673,92.438744
4.8101940,0.051432,0.839650,0.191640,0.862777,77.166405,86.494781
4.8151684,0.023745,0.861314,0.191514,0.882669,77.468773,88.420837
4.8201423,-0.065022,0.830319,0.184578,0.853069,77.504097,94.477654
4.8251171,-0.069086,0.825513,0.145375,0.841058,80.046539,94.783859
4.8300910,-0.075283,0.876472,0.186246,0.899199,78.046120,94.909264
4.8350658,-0.022087,0.878202,0.169729,0.894726,79.064766,91.440712
4.8400397,-0.005461,0.894361,0.172043,0.910775,79.111534,90.349854
4.8450146,0.013178,0.880160,0.161188,0.894895,79.623291,89.142242
4.8499885,0.003215,0.813531,0.160482,0.829215,78.840881,89.773567
4.8549628,0.025616,0.866467,0.147033,0.879227,80.373177,88.306587
4.8599377,-0.003974,0.860323,0.126985,0.869654,81.603745,90.264664
4.8649116,-0.045636,0.814779,0.150648,0.829845,79.540649,93.205833
4.8698864,-0.014761,0.818335,0.130757,0.828847,80.923203,91.033386
4.8748603,-0.015326,0.860311,0.159058,0.875025,79.526787,91.020569
4.8798351,-0.052205,0.878995,0.153944,0.893899,80.083282,93.398895
4.8848090,-0.031160,0.897783,0.170107,0.914287,79.277420,91.987808
4.8897839,-0.014445,0.883916,0.162340,0.898816,79.594368,90.936264
4.8947577,-0.041801,0.855803,0.177761,0.875069,78.279396,92.796318
4.8997321,-0.023224,0.841234,0.164751,0.857529,78.923279,91.581375
4.9047070,0.033033,0.849129,0.158243,0.864380,79.451271,87.772209
4.9096808,0.007363,0.860384,0.166977,0.876468,79.017372,89.509659
4.9146557,-0.012632,0.841694,0.161846,0.857206,79.116882,90.859795
4.9196296,-0.021040,0.809651,0.162792,0.826122,78.635201,91.488609
4.9246044,-0.042431,0.803462,0.172228,0.822808,77.917633,93.022972
4.9295783,-0.023630,0.868004,0.184862,0.887786,77.981491,91.559410
4.9345531,-0.012478,0.919436,0.177560,0.936507,79.070648,90.777512
4.9395275,-0.052088,0.917909,0.178072,0.936472,79.038338,93.247864
4.9445014,-0.040824,0.874899,0.179495,0.894055,78.418282,92.671555
4.9494762,-0.003349,0.865114,0.160978,0.879970,79.459206,90.221786
4.9544501,-0.054683,0.866351,0.166808,0.883956,79.122734,93.611633
4.9594250,0.003506,0.865794,0.137113,0.876591,81.001068,89.767990
4.9643989,0.011084,0.827482,0.157819,0.842470,79.203072,89.232574
4.9693737,-0.024954,0.801183,0.174834,0.820417,77.695709,91.783966
4.9743476,0.010148,0.850104,0.166562,0.866327,78.915176,89.316093
4.9793224,0.013123,0.853144,0.175851,0.871177,78.354584,89.118736
4.9842968,-0.022362,0.857360,0.165356,0.873447,79.087204,91.494102
4.9892707,-0.042970,0.866004,0.175171,0.884587,78.578453,92.840637
4.9942455,-0.037008,0.863114,0.159804,0.878563,79.520020,92.455208
4.9992194,-0.092265,0.840660,0.172536,0.863128,78.469093,96.263329
5.0041943,-0.080864,0.881947,0.152285,0.898644,80.243546,95.238678
5.0091681,-0.012193,0.885245,0.153263,0.898497,80.178627,90.789124
5.0141430,-0.006572,0.851111,0.162378,0.866487,79.199036,90.442390
5.0191169,0.007846,0.846007,0.156915,0.860472,79.492790,89.468674
5.0240917,0.015904,0.856186,0.150581,0.869472,80.026825,88.935814
5.0290661,-0.021908,0.818384,0.158883,0.833952,79.016998,91.533447
5.0340400,-0.055442,0.819283,0.147181,0.834243,79.838417,93.871368
5.0390148,-0.056389,0.845496,0.155548,0.861532,79.598320,93.815605
5.0439887,0.033938,0.851860,0.136623,0.863414,80.895493,87.718552
5.0489635,-0.004179,0.851332,0.176008,0.869345,78.319130,90.281281
5.0539374,-0.025528,0.894571,0.173432,0.911585,79.032425,91.634567
5.0589123,-0.015760,0.875781,0.159877,0.890394,79.656036,91.030922
5.0638862,-0.020847,0.833054,0.199842,0.856942,76.514252,91.433548
5.0688610,-0.008877,0.815683,0.161180,0.831502,78.822914,90.623512
5.0738354,-0.067218,0.831114,0.190646,0.855345,77.121277,94.623848
5.0788093,-0.048729,0.802875,0.186030,0.825585,76.977669,93.473167
5.0837841,0.006707,0.867455,0.200477,0.890345,76.987289,89.557007
5.0887580,0.007396,0.909246,0.206792,0.932495,77.187477,89.533951
5.0937328,0.000845,0.875713,0.198794,0.897994,77.210182,89.944740
5.0987067,-0.018643,0.857917,0.198327,0.880740,76.986412,91.244896
5.1036816,-0.030645,0.878909,0.158166,0.893553,79.804489,91.996933
5.1086555,-0.063403,0.867861,0.178870,0.888368,78.384270,94.178383
5.1136303,-0.044504,0.825385,0.166509,0.843188,78.610634,93.086349
5.1186047,0.002635,0.858863,0.156159,0.872948,79.695053,89.824226
5.1235785,-0.004637,0.883708,0.164745,0.898945,79.440002,90.300621
5.1285534,-0.003920,0.857163,0.169229,0.873717,78.831848,90.262001
5.1335273,-0.046346,0.860967,0.178419,0.880481,78.308731,93.081245
5.1385021,-0.038261,0.884075,0.156131,0.898571,79.993782,92.478073
5.1434760,-0.024887,0.857238,0.151701,0.870913,79.968674,91.662918
5.1484509,-0.024506,0.792336,0.149384,0.806667,79.328003,91.771515
5.1534247,-0.006177,0.788988,0.157083,0.804497,78.740311,90.448532
5.1583991,0.001126,0.820466,0.168912,0.837673,78.366859,89.921356
