Keuwl Accelerometer Data File
2019-04-14 17-23-08

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.4178467,-0.075179,0.839859,0.265206,0.883939,72.540764,95.115112
0.4228210,-0.038075,0.846346,0.178691,0.865842,78.089798,92.575882
0.4277954,-0.025794,0.872294,0.157078,0.886699,79.796227,91.693741
0.4327698,-0.070879,0.871829,0.176101,0.892256,78.617012,94.647911
0.4377441,-0.107491,0.876547,0.161875,0.897826,79.612938,96.991295
0.4427185,-0.107091,0.870848,0.151331,0.890362,80.214172,97.010689
0.4476928,-0.103262,0.835032,0.157573,0.856020,79.392715,97.049538
0.4526672,-0.036898,0.822460,0.157320,0.838183,79.181931,92.568733
0.4576416,-0.014228,0.854682,0.156742,0.869052,79.609261,90.953690
0.4626160,-0.063969,0.852350,0.190665,0.875755,77.425148,94.291992
0.4675903,-0.070648,0.864112,0.285490,0.912790,71.773972,94.673965
0.4725647,-0.046245,0.913488,0.305513,0.964333,71.529694,92.898079
0.4775391,-0.069071,0.921282,0.234621,0.953194,75.750648,94.287567
0.4825134,-0.108515,0.855959,0.193328,0.884204,77.370476,97.225166
0.4874878,-0.079868,0.832660,0.185890,0.856888,77.470879,95.479019
0.4924621,-0.027915,0.874115,0.172693,0.891448,78.829910,91.829147
0.4974365,-0.008752,0.851318,0.185302,0.871295,77.720901,90.589035
0.5024109,-0.012944,0.816025,0.213191,0.843513,75.360207,90.908783
0.5073853,-0.055111,0.846398,0.216815,0.875463,75.661072,93.725372
0.5123596,-0.091805,0.868250,0.231157,0.903172,75.170738,96.035767
0.5173340,-0.110170,0.835930,0.306695,0.897206,70.011345,97.507912
0.5223083,-0.125730,0.870099,0.288260,0.925189,71.846176,98.222382
0.5272827,-0.115009,0.955698,0.205731,0.984333,77.935928,96.861977
0.5322571,-0.080193,0.936432,0.163064,0.953901,80.157280,94.894707
0.5372314,-0.047461,0.865718,0.165873,0.882742,79.169373,93.137962
0.5422058,-0.093413,0.856979,0.177848,0.880210,78.343025,96.220833
0.5471801,-0.090716,0.889113,0.143252,0.905137,80.893745,95.825706
0.5521545,-0.060047,0.849187,0.147690,0.864023,80.157944,94.044754
0.5571289,-0.031672,0.798921,0.159891,0.815379,78.691383,92.270195
0.5621033,-0.018535,0.829566,0.142222,0.841874,80.274055,91.279915
0.5670776,-0.070687,0.854705,0.157156,0.871904,79.615974,94.727768
0.5720520,-0.097978,0.868076,0.266743,0.913404,73.020393,96.439621
0.5770264,-0.128651,0.907388,0.403795,1.001476,66.221642,98.069733
0.5820007,-0.073238,0.939218,0.286322,0.984619,73.094437,94.458740
0.5869751,-0.009855,0.873664,0.186579,0.893419,77.945816,90.646286
0.5919494,-0.088559,0.817838,0.161432,0.838309,78.897278,96.180115
0.5969238,-0.071763,0.828484,0.121923,0.840476,81.659035,94.950584
0.6018981,-0.116829,0.837608,0.123610,0.854702,81.684509,97.940315
0.6068726,-0.026976,0.775235,0.146397,0.789398,79.312378,91.992920
0.6118469,0.016656,0.820623,0.189133,0.842300,77.023987,88.837273
0.6168213,0.024731,0.901122,0.182919,0.919833,78.529648,88.427910
0.6217957,-0.101450,0.881241,0.279650,0.930098,72.502335,96.567078
0.6267700,-0.126724,0.811019,0.375878,0.902826,65.396606,98.880821
0.6317444,-0.121499,0.866796,0.298206,0.924675,71.185928,97.979210
0.6367187,-0.082243,0.871061,0.201494,0.897836,77.031136,95.393738
0.6416931,0.031040,0.833334,0.169411,0.850946,78.516479,87.866821
0.6466674,0.004539,0.829121,0.172020,0.846790,78.279160,89.686356
0.6516418,-0.073003,0.882686,0.148818,0.898115,80.462105,94.727898
0.6566162,-0.116847,0.872963,0.157985,0.894805,79.830650,97.623795
0.6615906,-0.111767,0.815627,0.216522,0.851246,75.264381,97.802773
0.6665649,-0.090890,0.812295,0.272327,0.861537,71.573128,96.384438
0.6715393,-0.017704,0.868412,0.277816,0.911940,72.263329,91.167900
0.6765137,-0.007225,0.856009,0.343259,0.922296,68.149948,90.483582
0.6814880,-0.076179,0.833184,0.401861,0.928166,64.344261,95.224083
0.6864624,-0.058588,0.875938,0.303748,0.928958,70.914612,93.826614
0.6914368,-0.021788,0.875047,0.192370,0.896208,77.605095,91.426361
0.6964111,-0.028701,0.831624,0.154377,0.846318,79.489853,91.976593
0.7013854,-0.075714,0.818899,0.124050,0.831695,81.422119,95.282433
0.7063599,-0.131068,0.836818,0.116721,0.855024,82.153931,98.901756
0.7113342,-0.082802,0.825992,0.152983,0.844111,79.558258,95.724510
0.7163086,-0.031737,0.805823,0.278130,0.853061,70.971565,92.255409
0.7212829,-0.033255,0.829448,0.372223,0.909747,65.848579,92.295937
0.7262573,-0.042526,0.827832,0.327140,0.891142,68.463013,92.940681
0.7312316,-0.081600,0.779010,0.300749,0.839026,68.994965,95.979797
0.7362061,-0.075129,0.816602,0.268228,0.862803,71.887741,95.256523
0.7411804,-0.051077,0.882924,0.205118,0.907875,76.942314,93.310883
0.7461548,-0.055294,0.881617,0.197039,0.905059,77.425514,93.588829
0.7511292,-0.022636,0.821761,0.177408,0.840998,77.822014,91.577866
0.7561035,0.009844,0.849124,0.160745,0.864261,79.281105,89.335770
0.7610779,-0.016805,0.876699,0.148583,0.889360,80.382668,91.098129
0.7660522,-0.111913,0.841405,0.206280,0.873520,76.340714,97.576317
0.7710266,-0.109226,0.825328,0.328254,0.894900,68.481308,97.538834
0.7760009,0.004327,0.876239,0.332624,0.937258,69.213226,89.717056
0.7809753,-0.053516,0.842806,0.366370,0.920550,66.547432,93.633270
0.7859496,-0.038247,0.812318,0.347630,0.884404,66.854546,92.695679
0.7909241,0.004407,0.830064,0.242027,0.864640,73.744797,89.695839
0.7958984,-0.063329,0.888673,0.188563,0.910662,78.049774,94.076172
0.8008728,-0.017130,0.872115,0.160611,0.886946,79.567162,91.125252
0.8058472,-0.039598,0.806465,0.194084,0.830435,76.484215,92.811020
0.8108215,0.025058,0.836039,0.130160,0.846481,81.154755,88.283226
0.8157959,-0.119715,0.839037,0.143481,0.859594,80.391388,98.120262
0.8207702,-0.118435,0.835821,0.205040,0.868714,76.347824,98.065086
0.8257446,-0.071458,0.814384,0.352928,0.890441,66.649719,95.014572
0.8307189,-0.002674,0.858317,0.431125,0.960512,63.330124,90.178482
0.8356934,0.011002,0.893313,0.336256,0.954566,69.374336,89.294411
0.8406677,-0.096550,0.871591,0.253203,0.912746,73.894455,96.321159
0.8456421,-0.115681,0.846586,0.183592,0.873954,77.873497,97.780914
0.8506164,-0.099750,0.808360,0.170940,0.832235,78.147133,97.034615
0.8555908,-0.061842,0.842677,0.176220,0.863124,78.219383,94.197304
0.8605652,-0.025329,0.904691,0.178008,0.922385,78.872841,91.603691
0.8655395,-0.024212,0.916439,0.153608,0.929538,80.488113,91.513374
0.8705139,-0.083794,0.861754,0.192704,0.887005,77.452286,95.553795
0.8754882,-0.086729,0.842377,0.198580,0.869802,76.802673,95.878342
0.8804626,-0.098771,0.881507,0.195793,0.908375,77.552666,96.393234
0.8854370,-0.081912,0.869886,0.215729,0.899973,76.130798,95.379349
0.8904114,-0.017859,0.823202,0.282401,0.870477,71.069489,91.242844
0.8953857,-0.009964,0.859532,0.315512,0.915665,69.844383,90.664169
0.9003601,-0.046420,0.900629,0.295009,0.948851,71.885788,92.950531
0.9053344,-0.049334,0.869155,0.286865,0.916600,71.761902,93.248650
0.9103088,-0.010617,0.863791,0.250449,0.899429,73.832047,90.704224
0.9152832,-0.033870,0.900180,0.173694,0.917410,79.086288,92.154755
0.9202576,-0.074267,0.878043,0.131832,0.890985,81.491142,94.834724
0.9252319,-0.097670,0.797226,0.135038,0.814459,80.456245,96.984650
0.9302062,-0.066313,0.814275,0.153167,0.831205,79.381393,94.655769
0.9351807,-0.030385,0.877135,0.199027,0.899944,77.223145,91.984024
0.9401550,0.022380,0.827736,0.306282,0.882868,69.701149,88.451263
0.9451294,0.017107,0.785573,0.398556,0.881058,63.104755,88.752525
0.9501037,-0.072382,0.793698,0.356727,0.873184,65.887070,95.210732
0.9550781,-0.061751,0.786272,0.278425,0.836396,70.555893,94.490562
0.9600524,-0.037235,0.793989,0.223161,0.825594,74.317673,92.685020
0.9650269,-0.037459,0.834718,0.199428,0.859028,76.575981,92.569527
0.9700012,-0.051754,0.886512,0.170183,0.904182,79.151215,93.341087
0.9749756,-0.053134,0.869448,0.161527,0.885920,79.494675,93.497101
0.9799500,-0.103180,0.872042,0.165440,0.893574,79.330429,96.747833
0.9849243,-0.077748,0.857511,0.130709,0.870893,81.368073,95.180695
0.9898987,-0.169519,0.802320,0.171300,0.837733,78.200943,101.930321
0.9948730,-0.086348,0.775252,0.255503,0.820825,71.863861,96.355461
0.9998474,-0.037680,0.841675,0.359740,0.916106,66.878380,92.563324
1.0048218,-0.043477,0.860723,0.478129,0.985567,60.978954,92.891708
1.0097961,-0.017153,0.775174,0.489743,0.917081,57.722263,91.267654
1.0147705,-0.066600,0.796249,0.323250,0.861939,67.974052,94.781250
1.0197449,-0.093310,0.892928,0.166461,0.913092,79.495979,95.965714
1.0247192,-0.065495,0.900564,0.120907,0.911002,82.373283,94.159576
1.0296936,-0.028749,0.822425,0.135352,0.833985,80.659828,92.002037
1.0346680,-0.060265,0.769474,0.123154,0.781594,80.934219,94.478264
1.0396423,-0.114483,0.815841,0.113178,0.831572,82.177704,97.987869
1.0446167,-0.049541,0.850070,0.105580,0.858033,82.931931,93.335320
1.0495911,-0.018542,0.797815,0.144150,0.810945,79.760971,91.331390
1.0545654,-0.013786,0.789178,0.176445,0.808780,77.398895,91.000771
1.0595398,-0.012669,0.842688,0.287377,0.890432,71.171364,90.861320
1.0645142,-0.086012,0.830958,0.525666,0.987023,57.820251,95.909622
1.0694885,-0.087722,0.825899,0.588680,1.018012,54.671444,96.062866
1.0744628,-0.033801,0.845522,0.373148,0.924819,66.203934,92.289268
1.0794373,-0.010386,0.851170,0.161123,0.866348,79.281784,90.699066
1.0844116,-0.076350,0.821691,0.147436,0.838298,79.870369,95.308571
1.0893860,-0.105398,0.830496,0.146511,0.849881,80.073212,97.232697
1.0943602,-0.106168,0.863517,0.148987,0.882683,80.282593,97.009216
1.0993346,-0.067476,0.855833,0.152603,0.871947,79.920486,94.508026
1.1043091,-0.015254,0.823681,0.146853,0.836808,79.892723,91.060966
1.1092834,0.004108,0.804063,0.132887,0.814981,80.615730,89.707283
1.1142578,-0.012075,0.770396,0.138279,0.782801,79.825478,90.897949
1.1192321,-0.018757,0.774667,0.193855,0.798775,75.954613,91.387024
1.1242065,-0.080114,0.828373,0.334654,0.897003,68.094269,95.524040
1.1291809,-0.081071,0.866494,0.436919,0.973798,63.341263,95.345131
1.1341553,-0.059715,0.864774,0.381225,0.946959,66.260529,93.950134
1.1391295,-0.100238,0.878622,0.267352,0.923851,73.178619,96.508499
1.1441040,-0.120327,0.886480,0.175899,0.911737,78.876328,97.729828
1.1490784,-0.084497,0.898360,0.150970,0.914867,80.501678,95.373276
1.1540527,-0.063978,0.858427,0.142894,0.872588,80.574829,94.262337
1.1590270,-0.070264,0.815986,0.166882,0.835835,78.482956,94.921532
1.1640013,0.005668,0.828317,0.126827,0.837990,81.295036,89.607941
1.1689758,-0.001885,0.794337,0.134758,0.805689,80.371567,90.135979
1.1739502,-0.052168,0.796815,0.165439,0.815479,78.294975,93.745819
1.1789246,-0.030941,0.839131,0.187884,0.860464,77.387756,92.111671
1.1838988,-0.105139,0.885507,0.294865,0.939214,71.702652,96.771233
1.1888733,-0.025052,0.874489,0.371271,0.950368,67.004440,91.640923
1.1938477,-0.059264,0.896847,0.350377,0.964681,68.702866,93.780602
1.1988220,-0.065739,0.879076,0.199903,0.903912,77.223251,94.276718
1.2037963,-0.072923,0.858340,0.179223,0.879879,78.247139,94.856102
1.2087708,-0.035615,0.843803,0.159286,0.859444,79.319305,92.416870
1.2137451,-0.016735,0.886053,0.133344,0.896187,81.443161,91.082016
1.2187195,-0.011918,0.890808,0.136838,0.901336,81.267792,90.766487
1.2236938,-0.031863,0.804698,0.196540,0.828964,76.285110,92.267517
1.2286681,-0.046234,0.841193,0.291362,0.891423,70.922287,93.145927
1.2336426,-0.007886,0.892732,0.258037,0.929310,73.879105,90.506111
1.2386169,-0.053913,0.865883,0.278508,0.911167,72.202095,93.562836
1.2435913,-0.051779,0.851417,0.244361,0.887302,74.014244,93.480148
