Keuwl Accelerometer Data File
2019-04-15 21-42-19

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
3.1239014,-0.071889,-0.271631,1.052054,1.088930,14.953566,255.176178
3.1288757,-0.150029,-0.213418,1.027850,1.060439,14.241344,234.893402
3.1338501,-0.054274,-0.205547,0.919155,0.943420,13.022981,255.208923
3.1388245,-0.089764,-0.166912,0.802639,0.824710,13.285283,241.728958
3.1437986,-0.104444,-0.163381,0.892681,0.913500,12.255638,237.410553
3.1487730,-0.110227,-0.211064,1.163816,1.187925,11.562977,242.424423
3.1537473,-0.069495,-0.254209,1.155254,1.184932,12.850437,254.710175
3.1587219,-0.065124,-0.212089,1.000843,1.025139,12.498974,252.930313
3.1636963,-0.024067,-0.171340,1.040691,1.054976,9.439506,262.004303
3.1686707,-0.101094,-0.198366,1.102321,1.124580,11.418666,242.995117
3.1736450,-0.100696,-0.238423,0.976505,1.010221,14.844479,247.103714
3.1786194,-0.050264,-0.227712,1.055001,1.080466,12.464037,257.552490
3.1835938,-0.052628,-0.240154,1.083601,1.111141,12.783146,257.639435
3.1885679,-0.120487,-0.234712,1.022581,1.056068,14.467079,242.826752
3.1935422,-0.163513,-0.221791,0.930519,0.970460,16.495331,233.600815
3.1985166,-0.100053,-0.193602,0.917363,0.942893,13.363376,242.670105
3.2034912,-0.069926,-0.197952,0.989020,1.011056,11.984313,250.544373
3.2084656,-0.092623,-0.160175,1.035051,1.051459,10.135236,239.960953
3.2134399,-0.081488,-0.206918,1.065196,1.088162,11.792477,248.504669
3.2184143,-0.067300,-0.203858,1.012379,1.034891,11.972498,251.730194
3.2233887,-0.025046,-0.189711,0.972929,0.991569,11.127019,262.479340
3.2283628,-0.098562,-0.242123,1.040397,1.072737,14.104447,247.850159
3.2333372,-0.039765,-0.226458,1.030153,1.055500,12.581800,260.040771
3.2383115,-0.075546,-0.211909,1.041844,1.065857,12.185165,250.378784
3.2432859,-0.090787,-0.289947,1.071467,1.113711,15.831340,252.613724
3.2482605,-0.083844,-0.181024,1.056897,1.075561,10.689310,245.148102
3.2532349,-0.160867,-0.230411,1.047025,1.084080,15.023578,235.078156
3.2582092,-0.118252,-0.206474,0.991467,1.019618,13.495057,240.199417
3.2631836,-0.054832,-0.229540,0.957913,0.986556,13.840168,256.565033
3.2681580,-0.107987,-0.215793,1.084223,1.110751,12.547232,243.415619
3.2731321,-0.095958,-0.167651,0.981828,1.000650,11.130505,240.214600
3.2781065,-0.039237,-0.218534,1.029354,1.053027,12.172036,259.821106
3.2830808,-0.069273,-0.211746,1.041626,1.065185,12.072837,251.884460
3.2880552,-0.050450,-0.215065,1.003706,1.027728,12.412189,256.798126
3.2930298,-0.079433,-0.235306,1.071889,1.100284,13.044983,251.346725
3.2980042,-0.058985,-0.212797,0.991619,1.015908,12.554178,254.507187
3.3029785,-0.023812,-0.175401,0.985267,1.001041,10.184933,262.268921
3.3079529,-0.097757,-0.275378,1.041477,1.081695,15.672936,250.455505
3.3129272,-0.082097,-0.218442,1.023241,1.049514,12.847119,249.402206
3.3179014,-0.145973,-0.204129,0.970182,1.002113,14.502497,234.431396
3.3228757,-0.138723,-0.248325,0.970740,1.011556,16.331591,240.810760
3.3278501,-0.085455,-0.203720,1.094967,1.117030,11.406689,247.243134
3.3328247,-0.022005,-0.223208,1.079678,1.102729,11.735575,264.369751
3.3377991,-0.050488,-0.181878,0.896546,0.916201,11.889207,254.485825
3.3427734,-0.064236,-0.200354,0.949727,0.972753,12.491382,252.223404
3.3477478,-0.083346,-0.216371,1.098393,1.122600,11.920050,248.933319
3.3527222,-0.052989,-0.228330,1.050610,1.076441,12.577065,256.934540
3.3576965,-0.052830,-0.238717,0.982658,1.012617,13.971923,257.521057
3.3626707,-0.075093,-0.206135,0.942780,0.967969,13.099731,249.983780
3.3676450,-0.057870,-0.210959,0.988323,1.012243,12.480435,254.660049
3.3726194,-0.046369,-0.224189,1.016775,1.042230,12.688962,258.314301
3.3775940,-0.089727,-0.244655,0.995341,1.028888,14.671293,249.859634
3.3825684,-0.211287,-0.191984,0.931130,0.973911,17.045397,222.259583
3.3875427,-0.113711,-0.217701,0.910570,0.943113,15.095265,242.420700
3.3925171,-0.037281,-0.180029,1.019623,1.036065,10.221178,258.300476
3.3974915,-0.069114,-0.234228,1.090828,1.117830,12.619153,253.560150
3.4024656,-0.122916,-0.179463,1.027873,1.050637,11.948752,235.592209
3.4074399,-0.097549,-0.236878,0.859689,0.897046,16.593481,247.617630
3.4124143,-0.011356,-0.230190,0.990583,1.017040,13.097486,267.175659
3.4173887,0.004456,-0.198783,1.150114,1.167175,9.808387,271.284241
3.4223633,-0.125164,-0.259794,1.077620,1.115538,14.981453,244.276108
3.4273376,-0.079523,-0.184642,1.013793,1.033534,11.216455,246.699081
3.4323120,-0.092484,-0.258802,0.891261,0.932673,17.137762,250.335358
3.4372864,0.007746,-0.191401,0.988220,1.006615,10.970183,272.317505
3.4422607,-0.151986,-0.225502,1.176893,1.207902,13.010715,236.020432
3.4472349,-0.187129,-0.205200,0.915264,0.956469,16.879044,227.637222
3.4522092,-0.088512,-0.183961,0.705544,0.734485,16.137621,244.305710
3.4571836,-0.088714,-0.224217,0.960304,0.990114,14.095406,248.413208
3.4621580,-0.066635,-0.188391,1.182850,1.199611,9.588863,250.521072
3.4671326,-0.053398,-0.225354,1.144157,1.167361,11.442894,256.669525
3.4721069,-0.033196,-0.248976,0.975397,1.007220,14.440783,262.405548
3.4770813,-0.088879,-0.177204,0.841759,0.864789,13.252325,243.363373
3.4820557,-0.145728,-0.187333,0.972847,1.001379,13.710356,232.120270
3.4870300,-0.088725,-0.245217,1.063017,1.094535,13.783377,250.108749
3.4920042,-0.016884,-0.264215,1.167890,1.197523,12.772755,266.343567
3.4969785,-0.006307,-0.260372,1.118584,1.148505,13.107053,268.612335
3.5019529,-0.058386,-0.199459,0.934944,0.957764,12.532541,253.684052
3.5069275,-0.175112,-0.220974,0.775352,0.825024,19.983130,231.604736
3.5119019,-0.173477,-0.154251,0.876914,0.907119,14.827273,221.642502
3.5168762,-0.081615,-0.209073,1.074959,1.098139,11.793262,248.676025
3.5218506,-0.041768,-0.225941,1.177142,1.199357,11.044839,259.526367
3.5268250,-0.067361,-0.191992,1.039920,1.059637,11.070354,250.666351
3.5317991,-0.124578,-0.178100,0.917517,0.942908,13.326860,235.027939
3.5367734,-0.090856,-0.190797,0.907069,0.931360,13.114580,244.536621
3.5417478,-0.071847,-0.221271,1.026990,1.053010,12.763762,252.011337
3.5467222,-0.105115,-0.266858,1.023816,1.063232,15.649773,248.500656
3.5516968,-0.101016,-0.217124,0.952799,0.982432,14.108258,245.050034
3.5566711,-0.087401,-0.204099,1.011199,1.035287,12.383732,246.817963
3.5616455,-0.056024,-0.204149,1.039582,1.060918,11.510110,254.654388
3.5666199,-0.054893,-0.260176,1.090787,1.122729,13.699920,258.086273
3.5715942,-0.116298,-0.187954,0.948058,0.973481,13.123187,238.252472
3.5765684,-0.128121,-0.188537,0.869508,0.898891,14.690064,235.801804
3.5815427,-0.128045,-0.154678,0.999037,1.019017,11.364686,230.381607
3.5865171,-0.045781,-0.203880,1.056053,1.076527,11.192306,257.344208
3.5914915,-0.059688,-0.228759,1.095348,1.120571,12.179760,255.376328
3.5964661,-0.102117,-0.236567,1.002840,1.035413,14.409691,246.651947
3.6014404,-0.081063,-0.201428,0.891798,0.917849,13.683702,248.078171
3.6064148,-0.182238,-0.210702,0.920103,0.961351,16.844652,229.143250
3.6113892,-0.060639,-0.215432,0.914001,0.941003,13.758801,254.279465
3.6163635,-0.120527,-0.223200,1.159604,1.187024,12.339065,241.631073
3.6213377,-0.033502,-0.216977,1.096119,1.117890,11.326200,261.222504
3.6263120,-0.054028,-0.227633,0.907399,0.937074,14.457822,256.648102
3.6312864,-0.078417,-0.205063,1.033350,1.056415,11.994720,249.072937
3.6362607,-0.170251,-0.189559,1.023246,1.054490,13.982414,228.071564
3.6412354,-0.110997,-0.190982,1.008495,1.032404,12.354589,239.835220
3.6462097,-0.075995,-0.217754,0.966846,0.993973,13.416789,250.761230
3.6511841,-0.088331,-0.214051,1.053124,1.078281,12.400839,247.575729
3.6561584,-0.075244,-0.202914,1.163332,1.183291,10.538310,249.654343
3.6611328,-0.066674,-0.234830,1.001911,1.031221,13.693098,254.149536
3.6661069,-0.042256,-0.179041,0.962786,0.980203,10.817162,256.720337
3.6710813,-0.056529,-0.214940,0.998751,1.023180,12.545486,255.264969
3.6760557,-0.092783,-0.191564,1.022289,1.044213,11.761488,244.156998
3.6810303,-0.141171,-0.208325,1.064580,1.093919,13.299780,235.876587
3.6860046,-0.072298,-0.219573,1.015831,1.041802,12.820275,251.774979
3.6909790,-0.106124,-0.233285,1.012533,1.044466,14.204218,245.538696
3.6959534,-0.177753,-0.199637,0.982809,1.018511,15.215182,228.318649
3.7009277,-0.132398,-0.199615,0.945931,0.975788,14.209923,236.444901
3.7059019,-0.074878,-0.204169,1.050909,1.073174,11.691334,249.859619
3.7108762,-0.081122,-0.213894,1.053715,1.078261,12.248766,249.230103
3.7158506,-0.090577,-0.186263,1.037839,1.058304,11.286118,244.066895
3.7208250,-0.118830,-0.186235,0.996474,1.020668,12.500205,237.459412
3.7257996,-0.060971,-0.197331,0.994394,1.015616,11.733526,252.829926
3.7307739,-0.019404,-0.211268,1.122190,1.142069,10.705776,264.752380
3.7357483,-0.100881,-0.207370,0.973035,0.999988,13.332933,244.058182
3.7407227,-0.100349,-0.215311,0.967739,0.996467,13.791487,245.011444
3.7456970,-0.054479,-0.231151,1.131295,1.155953,11.855543,256.738220
3.7506711,-0.043291,-0.227283,1.110995,1.134831,11.763917,259.216003
3.7556455,-0.172684,-0.157049,0.850943,0.882376,15.339258,222.285202
3.7606199,-0.161714,-0.204021,0.850003,0.888978,17.028728,231.598572
3.7655942,-0.121269,-0.223666,1.008604,1.040200,14.157840,241.533981
3.7705688,-0.000446,-0.166117,0.997929,1.011661,9.450930,269.846039
3.7755432,-0.055358,-0.248462,0.892092,0.927699,15.925830,257.439514
3.7805176,-0.160158,-0.147937,1.073956,1.095864,11.475847,222.728470
3.7854919,-0.081875,-0.250208,1.153242,1.182910,12.859201,251.880524
3.7904663,-0.093032,-0.103369,0.870983,0.882015,9.071794,228.012939
3.7954404,-0.136665,-0.265472,0.760482,0.816998,21.436216,242.760590
3.8004148,-0.068136,-0.154288,1.091839,1.104789,8.781430,246.173080
3.8053892,-0.098992,-0.281715,1.169330,1.206854,14.324994,250.638947
3.8103635,-0.031914,-0.193490,0.985763,1.005080,11.251304,260.633911
3.8153381,-0.175639,-0.263188,0.925608,0.978196,18.872667,236.282745
3.8203125,-0.098255,-0.142451,1.015378,1.030019,9.671968,235.404190
3.8252869,-0.187535,-0.195897,0.820066,0.863744,18.298828,226.249329
3.8302612,-0.069467,-0.160866,0.875321,0.892687,11.320007,246.643738
3.8352354,-0.104474,-0.194300,1.056661,1.079444,11.792644,241.733383
3.8402097,-0.089181,-0.174045,1.059013,1.076918,10.462679,242.869400
3.8451841,-0.127927,-0.157176,0.895447,0.918093,12.752287,230.857712
3.8501585,-0.081075,-0.167879,0.899394,0.918513,11.710732,244.222336
3.8551331,-0.070279,-0.212310,1.052099,1.075605,12.000503,251.684387
3.8601074,-0.101577,-0.221167,1.118874,1.145038,12.271844,245.331635
3.8650818,-0.088442,-0.214659,1.111339,1.135330,11.799693,247.607803
