Keuwl Accelerometer Data File
2019-04-15 21-35-01

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,-0.054386,-0.394660,1.086594,1.157325,20.134991,262.153839
0.0049744,-0.050814,-0.416794,1.012115,1.095754,22.531307,263.048950
0.0099487,-0.054056,-0.404016,0.868244,0.959165,25.148729,262.379272
0.0149231,-0.052735,-0.387341,0.902805,0.983805,23.412624,262.247009
0.0198975,-0.055233,-0.389012,1.046022,1.117382,20.587505,261.918945
0.0248718,-0.049012,-0.403179,1.044239,1.120442,21.253065,263.068970
0.0298462,-0.055246,-0.401843,0.908094,0.994567,24.069113,262.171967
0.0348206,-0.056288,-0.386166,0.886900,0.968960,23.750063,261.706909
0.0397949,-0.061169,-0.384187,1.010763,1.083044,21.050890,260.953491
0.0447693,-0.053681,-0.393893,1.057527,1.129778,20.601688,262.239349
0.0497437,-0.055705,-0.408141,0.930220,1.017345,23.884966,262.228058
0.0547180,-0.055496,-0.390855,0.859224,0.945576,24.676689,261.918762
0.0596924,-0.057479,-0.378648,0.962910,1.036279,21.689596,261.368317
0.0646667,-0.053493,-0.380151,1.071604,1.138293,19.709770,261.990234
0.0696411,-0.049191,-0.400303,0.994075,1.072775,22.083263,262.994415
0.0746155,-0.054782,-0.392216,0.875884,0.961253,24.329699,262.048737
0.0795898,-0.058509,-0.376702,0.922244,0.997929,22.458265,261.171417
0.0845642,-0.055320,-0.384038,1.036476,1.106719,20.523232,261.802948
0.0895386,-0.049455,-0.406077,1.004019,1.084158,22.167925,263.056305
0.0945129,-0.052216,-0.402132,0.878648,0.967708,24.773964,262.601685
0.0994873,-0.055409,-0.380191,0.895179,0.974146,23.228827,261.708069
0.1044617,-0.055933,-0.374397,1.034180,1.101286,20.104681,261.503113
0.1094360,-0.050116,-0.395058,1.055152,1.127798,20.676960,262.770233
0.1144104,-0.050608,-0.402267,0.912382,0.998410,23.959082,262.829529
0.1193848,-0.056241,-0.381498,0.862299,0.944597,24.094246,261.613739
0.1243591,-0.060343,-0.376488,1.004244,1.074193,20.790836,260.894135
0.1293335,-0.048607,-0.402039,1.093148,1.165749,20.327595,263.106293
0.1343078,-0.048683,-0.414470,0.953656,1.040968,23.634161,263.300751
0.1392822,-0.053673,-0.386491,0.844293,0.930100,24.804558,262.093719
0.1442566,-0.059576,-0.371391,0.974058,1.044160,21.114376,260.886597
0.1492310,-0.051091,-0.389144,1.128051,1.194379,19.184380,262.520325
0.1542053,-0.047154,-0.414974,1.018150,1.100480,22.303387,263.517151
0.1591797,-0.056213,-0.391339,0.836729,0.925431,25.290794,261.825745
0.1641540,-0.060394,-0.372347,0.899769,0.975641,22.745052,260.786926
0.1691284,-0.057168,-0.379631,1.101629,1.166608,19.213177,261.436218
0.1741028,-0.050197,-0.411827,1.079325,1.156315,21.025938,263.050598
0.1790771,-0.058672,-0.405716,0.870751,0.962422,25.210337,261.771240
0.1840515,-0.059991,-0.377520,0.859770,0.940917,23.970137,260.970673
0.1890259,-0.058616,-0.379077,1.074016,1.140459,19.654072,261.210022
0.1940002,-0.050681,-0.406234,1.121258,1.193656,20.057665,262.888672
0.1989746,-0.060513,-0.412129,0.919484,1.009437,24.371616,261.647003
0.2039490,-0.064120,-0.387559,0.852573,0.938719,24.738146,260.605804
0.2089233,-0.062765,-0.385621,1.033199,1.104601,20.713701,260.755432
0.2138977,-0.055574,-0.406859,1.134643,1.206663,19.895626,262.221954
0.2188721,-0.060287,-0.417570,0.965500,1.053655,23.604115,261.784637
0.2238464,-0.063647,-0.393708,0.830814,0.921579,25.642609,260.817017
0.2288208,-0.061601,-0.379735,0.962155,1.036212,21.793077,260.785645
0.2337952,-0.054082,-0.386995,1.137579,1.202820,18.957455,262.044464
0.2387695,-0.047027,-0.413308,1.046098,1.125769,21.684948,263.508698
0.2437439,-0.058044,-0.392859,0.857222,0.944741,24.856775,261.595459
0.2487182,-0.059702,-0.372896,0.901724,0.977611,22.724102,260.903931
0.2536926,-0.057941,-0.385688,1.090160,1.157826,19.685181,261.456421
0.2586670,-0.052231,-0.410662,1.084488,1.160812,20.892832,262.751556
0.2636414,-0.059189,-0.408553,0.902479,0.992415,24.580637,261.756653
0.2686157,-0.063090,-0.382811,0.876724,0.958733,23.870708,260.641388
0.2735901,-0.060447,-0.378773,1.041685,1.110059,20.214525,260.932800
0.2785645,-0.053067,-0.397380,1.100653,1.171394,20.013916,262.393646
0.2835388,-0.055274,-0.400623,0.951677,1.034042,23.023235,262.144531
0.2885132,-0.062104,-0.377611,0.873647,0.953785,23.654854,260.660461
0.2934875,-0.064541,-0.367457,1.001568,1.068797,20.430256,260.038025
0.2984619,-0.056380,-0.388396,1.093526,1.161822,19.743069,261.740601
0.3034363,-0.053880,-0.402042,0.967197,1.048814,22.752861,262.366913
0.3084106,-0.059071,-0.384503,0.856097,0.940337,24.437227,261.266022
0.3133850,-0.063905,-0.369704,0.968714,1.038832,21.171593,260.193085
0.3183593,-0.062242,-0.380099,1.106376,1.171502,19.194510,260.700226
0.3233337,-0.060250,-0.407246,1.017405,1.097539,22.030035,261.584473
0.3283081,-0.060184,-0.394131,0.879676,0.965811,24.381670,261.317932
0.3332824,-0.064107,-0.378553,0.927658,1.003973,22.483900,260.388275
0.3382568,-0.064720,-0.379115,1.072050,1.138951,19.735516,260.312225
0.3432312,-0.059492,-0.408971,1.034191,1.113709,21.782274,261.723358
0.3482056,-0.060876,-0.402274,0.884759,0.973822,24.695185,261.394653
0.3531799,-0.062093,-0.381208,0.895585,0.975319,23.328720,260.748657
0.3581543,-0.059711,-0.368902,1.053496,1.117813,19.530954,260.805695
0.3631287,-0.052791,-0.383593,1.076529,1.144047,19.782772,262.163971
0.3681030,-0.052435,-0.400687,0.908385,0.994214,23.982340,262.544464
0.3730774,-0.054383,-0.385831,0.864781,0.948509,24.254919,261.977051
0.3780517,-0.053586,-0.378317,1.007035,1.077086,20.777939,261.938049
0.3830261,-0.051199,-0.380695,1.079759,1.146050,19.582924,262.340424
0.3880005,-0.047677,-0.415008,0.950910,1.038622,23.716028,263.446442
0.3929748,-0.051292,-0.401135,0.869129,0.958606,24.952309,262.713287
0.3979492,-0.050136,-0.382490,0.965578,1.039785,21.777397,262.532318
0.4029236,-0.048445,-0.383039,1.073754,1.141058,19.777111,262.791687
0.4078979,-0.038438,-0.406123,1.001434,1.081334,22.163734,264.593292
0.4128723,-0.047879,-0.402204,0.875934,0.965049,24.816448,263.211304
0.4178467,-0.047680,-0.387394,0.918648,0.998129,23.019804,262.983368
0.4228210,-0.047427,-0.388393,1.044182,1.115085,20.542082,263.038086
