Keuwl Accelerometer Data File
2019-04-14 17-17-02

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,-0.429285,0.532468,0.243374,0.725974,70.413025,128.876389
0.0049744,-0.428907,0.550841,0.241425,0.738697,70.923798,127.905792
0.0099487,-0.440763,0.568940,0.249493,0.761716,70.880432,127.765274
0.0149231,-0.458663,0.578913,0.257881,0.782314,70.753120,128.389160
0.0198975,-0.477123,0.572992,0.253411,0.787517,71.229095,129.783707
0.0248718,-0.501845,0.563048,0.221095,0.785973,73.662109,131.710617
0.0298462,-0.538800,0.571500,0.168836,0.803382,77.868484,133.313049
0.0348206,-0.562335,0.601134,0.114713,0.831109,82.066475,133.090042
0.0397949,-0.565109,0.624816,0.066269,0.845064,85.502296,132.127472
0.0447693,-0.546947,0.634392,0.025980,0.838022,88.223427,130.766586
0.0497437,-0.522610,0.636105,-0.003396,0.823263,90.236313,129.405762
0.0547180,-0.501650,0.638408,-0.018808,0.812140,91.327026,128.159637
0.0596924,-0.477975,0.648976,-0.028664,0.806506,92.036743,126.371880
0.0646667,-0.452166,0.652236,-0.031174,0.794253,92.249405,124.731804
0.0696411,-0.436171,0.645296,-0.022509,0.779204,91.655319,124.055717
0.0746155,-0.448206,0.621796,0.000667,0.766498,89.950119,125.784950
0.0795898,-0.463292,0.612862,0.033786,0.769013,87.481979,127.087379
0.0845642,-0.449353,0.636710,0.076190,0.783022,84.416161,125.212257
0.0895386,-0.418480,0.669750,0.124372,0.799474,81.050278,121.998352
0.0945129,-0.381854,0.701095,0.178551,0.818063,77.393097,118.575066
0.0994873,-0.345360,0.726698,0.244142,0.840814,73.120255,115.419228
0.1044617,-0.306649,0.746783,0.310698,0.865015,68.950058,112.324341
0.1094360,-0.259645,0.756837,0.361535,0.878024,65.684547,108.935349
0.1144104,-0.213640,0.759066,0.399283,0.883884,63.144852,105.719322
0.1193848,-0.183466,0.759220,0.443552,0.898228,60.408859,103.585136
0.1243591,-0.176666,0.768063,0.494341,0.930325,57.902344,102.953575
0.1293335,-0.177826,0.783281,0.545037,0.970679,55.840324,102.790901
0.1343078,-0.173680,0.795611,0.587155,1.003949,54.207897,102.314316
0.1392822,-0.167428,0.801114,0.622947,1.028533,52.723221,101.804573
0.1442566,-0.169247,0.800488,0.661071,1.051874,51.062698,101.938194
0.1492310,-0.188560,0.800239,0.694874,1.076469,49.795940,103.258759
0.1542053,-0.210056,0.803704,0.703819,1.088772,49.726757,104.647202
0.1591797,-0.224640,0.806092,0.696507,1.088747,50.228100,105.571991
0.1641540,-0.234694,0.803186,0.687005,1.082666,50.613438,106.288589
0.1691284,-0.254626,0.795883,0.693124,1.085673,50.325306,107.740952
0.1741028,-0.274302,0.789491,0.703878,1.092695,49.896729,109.159363
0.1790771,-0.284479,0.782073,0.705787,1.091192,49.699001,109.988869
0.1840515,-0.277948,0.768348,0.712302,1.083969,48.919056,109.887466
0.1890259,-0.271289,0.748903,0.732049,1.081827,47.415394,109.912849
0.1940002,-0.276430,0.736192,0.760611,1.094039,45.954296,110.580452
0.1989746,-0.284888,0.738123,0.783947,1.113804,45.263565,111.104767
0.2039490,-0.287573,0.746974,0.804994,1.135202,44.836704,111.055893
0.2089233,-0.274714,0.759139,0.831232,1.158753,44.163799,109.893967
0.2138977,-0.251938,0.767153,0.873276,1.189372,42.757618,108.180511
0.2188721,-0.240264,0.771681,0.913588,1.219779,41.498074,107.294083
0.2238464,-0.230019,0.790534,0.941260,1.250530,41.176121,106.223213
0.2288208,-0.211998,0.816110,0.953250,1.272660,41.494324,104.561653
0.2337952,-0.187153,0.839095,0.950414,1.281559,42.131451,102.573509
0.2387695,-0.157929,0.851184,0.941971,1.279361,42.584312,100.511169
0.2437439,-0.131681,0.851871,0.933486,1.270599,42.719627,98.787170
0.2487182,-0.102682,0.847446,0.917643,1.253306,42.930740,96.908638
0.2536926,-0.069550,0.834956,0.896588,1.227135,43.060280,94.761589
0.2586670,-0.036478,0.819890,0.874987,1.199646,43.166370,92.547485
0.2636414,-0.007349,0.803794,0.856788,1.174830,43.173359,90.523865
0.2686157,0.017536,0.788733,0.843662,1.155064,43.079845,88.726349
0.2735901,0.040402,0.775801,0.833002,1.139032,43.002403,87.018829
0.2785645,0.061678,0.758634,0.822382,1.120554,42.785110,85.352028
0.2835388,0.078801,0.739883,0.817020,1.105061,42.324409,83.920631
