Keuwl Accelerometer Data File
2019-04-15 21-58-29

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,-0.050727,-0.157816,1.013418,1.026887,9.289799,252.180832
0.0049744,-0.025134,-0.154846,1.020407,1.032395,8.739972,260.780304
0.0099487,-0.044602,-0.152571,1.016133,1.028490,8.890881,253.704422
0.0149231,-0.045087,-0.142064,1.000042,1.011088,8.477021,252.391937
0.0198975,-0.054124,-0.137531,0.994758,1.005678,8.451035,248.518265
0.0248718,-0.046842,-0.134203,0.991274,1.001413,8.160244,250.759064
0.0298462,-0.039914,-0.139416,0.997743,1.008227,8.269780,254.023956
0.0348206,-0.052023,-0.143137,0.991950,1.003574,8.728682,250.026398
0.0397949,-0.072001,-0.145420,0.989529,1.002745,9.312808,243.658951
0.0447693,-0.085253,-0.145172,0.994116,1.008270,9.611859,239.576050
0.0497437,-0.088129,-0.150945,1.007097,1.022153,9.846064,239.721542
0.0547180,-0.074469,-0.155817,1.019323,1.033849,9.615990,244.455521
0.0596924,-0.066023,-0.156481,1.020326,1.034365,9.450577,247.123871
0.0646667,-0.072838,-0.160377,1.019276,1.034384,9.804537,245.574142
0.0696411,-0.079489,-0.160399,1.019625,1.035220,9.957911,243.638443
0.0746155,-0.069873,-0.156480,1.018808,1.033120,9.548185,245.937714
0.0795898,-0.050349,-0.148307,1.011616,1.023668,8.800804,251.248001
0.0845642,-0.032484,-0.145685,1.012095,1.023042,8.389441,257.430267
0.0895386,-0.026960,-0.148060,1.013327,1.024441,8.447525,259.680054
0.0945129,-0.029362,-0.148858,1.005315,1.016700,8.582542,258.841766
0.0994873,-0.030651,-0.152037,1.003213,1.015131,8.788363,258.601715
0.1044617,-0.027603,-0.152887,1.005616,1.017546,8.782258,259.765869
0.1094360,-0.032647,-0.157694,1.010522,1.023273,9.054602,258.303467
0.1144104,-0.041255,-0.158761,1.006338,1.019619,9.257841,255.433640
0.1193848,-0.060710,-0.158069,1.006165,1.020314,9.552754,248.989578
0.1243591,-0.060061,-0.164529,1.014207,1.029220,9.798077,249.945343
0.1293335,-0.067058,-0.157332,1.014487,1.028802,9.569203,246.915405
0.1343078,-0.072038,-0.139690,1.016658,1.028736,8.788139,242.719833
0.1392822,-0.076715,-0.135960,1.004145,1.016207,8.836780,240.566177
0.1442566,-0.069361,-0.154598,1.005962,1.020132,9.561147,245.836243
0.1492310,-0.072976,-0.144794,1.011245,1.024162,9.109318,243.251831
0.1542053,-0.092156,-0.141376,1.004439,1.018517,9.537432,236.901657
0.1591797,-0.070845,-0.147900,0.996083,1.009493,9.349163,244.405182
0.1641540,-0.048190,-0.155176,1.007713,1.020729,9.159698,252.747665
0.1691284,-0.048951,-0.147590,1.008541,1.020457,8.764816,251.650955
0.1741028,-0.042718,-0.149511,1.002240,1.014230,8.818976,254.054291
0.1790771,-0.047038,-0.147380,1.001613,1.013490,8.780267,252.299026
0.1840515,-0.026060,-0.159041,0.998141,1.011068,9.171962,260.694489
0.1890259,-0.010266,-0.162521,1.003985,1.017106,9.213071,266.385651
0.1940002,-0.023804,-0.155106,1.007539,1.019686,8.852593,261.274811
0.1989746,-0.042530,-0.155025,1.006744,1.019498,9.072205,254.658722
0.2039490,-0.046411,-0.154871,1.004708,1.017633,9.141574,253.317856
0.2089233,-0.057319,-0.148192,1.011865,1.024264,8.924162,248.854050
0.2138977,-0.065510,-0.140854,1.010105,1.021981,8.742938,245.057175
0.2188721,-0.061754,-0.141355,1.007736,1.019474,8.702742,246.400864
0.2238464,-0.063854,-0.142891,1.004156,1.016280,8.858938,245.921646
0.2288208,-0.074356,-0.146772,1.003233,1.016636,9.313737,243.132874
0.2337952,-0.072556,-0.145064,1.004154,1.017170,9.175539,243.427338
0.2387695,-0.074703,-0.137547,1.003296,1.015432,8.867228,241.493286
0.2437439,-0.069335,-0.137954,0.996050,1.007946,8.811333,243.316208
0.2487182,-0.066302,-0.146105,0.995988,1.008829,9.151242,245.591629
0.2536926,-0.072696,-0.147264,1.000322,1.013713,9.323481,243.726898
0.2586670,-0.069248,-0.137099,0.993537,1.005339,8.787982,243.201935
0.2636414,-0.044171,-0.140348,0.993661,1.004496,8.422800,252.529877
0.2686157,-0.028709,-0.146817,1.003557,1.014646,8.478526,258.936005
0.2735901,-0.027830,-0.151919,1.013484,1.025185,8.664786,259.619171
0.2785645,-0.035333,-0.155080,1.016680,1.029046,8.891521,257.164886
0.2835388,-0.033333,-0.157701,1.022639,1.035264,8.957058,258.065155
0.2885132,-0.026635,-0.160070,1.021063,1.033877,9.030090,260.552673
0.2934875,-0.023783,-0.155909,1.016951,1.029107,8.815390,261.326874
0.2984619,-0.030273,-0.151763,1.008128,1.019937,8.727106,258.718872
0.3034363,-0.050685,-0.151529,1.010301,1.022858,8.986993,251.505264
0.3084106,-0.064124,-0.155089,1.018939,1.032667,9.352841,247.536499
0.3133850,-0.071590,-0.154164,1.015728,1.029852,9.500032,245.090836
0.3183593,-0.055641,-0.147842,1.003944,1.016296,8.941911,249.376007
0.3233337,-0.045694,-0.150765,1.002753,1.015052,8.928476,253.138962
0.3283081,-0.058030,-0.147369,0.997959,1.010449,9.018028,248.506836
0.3332824,-0.079994,-0.145061,1.003772,1.017349,9.371253,241.125351
0.3382568,-0.069988,-0.143739,1.008995,1.021582,9.003528,244.038010
0.3432312,-0.051311,-0.150994,1.010219,1.022729,8.970714,251.231232
0.3482056,-0.066826,-0.150499,1.014394,1.027672,9.220511,246.057343
0.3531799,-0.073194,-0.144419,1.006638,1.019576,9.137231,243.123306
0.3581543,-0.054616,-0.144996,1.008430,1.020264,8.734936,249.360001
0.3631287,-0.040444,-0.143537,1.006951,1.017934,8.424083,254.263763
0.3681030,-0.021991,-0.152303,1.010897,1.022542,8.655329,261.783997
0.3730774,-0.031456,-0.146920,1.009502,1.020622,8.465476,257.915436
0.3780517,-0.041193,-0.145193,1.003840,1.015122,8.550147,254.160934
0.3830261,-0.043549,-0.149871,0.999864,1.011972,8.871746,253.797333
0.3880005,-0.040541,-0.151959,1.005095,1.017326,8.893354,255.062164
0.3929748,-0.047312,-0.148192,1.009797,1.021709,8.757687,252.293900
0.3979492,-0.052281,-0.150231,1.012386,1.024806,8.929444,250.811874
0.4029236,-0.053064,-0.152995,1.008184,1.021107,9.125008,250.871857
