Keuwl Accelerometer Data File
2019-04-15 21-40-10

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
2.8453367,-0.208657,-0.129706,0.771766,0.809929,17.658419,211.866074
2.8503110,-0.132461,-0.123371,0.939935,0.957206,10.900658,222.965073
2.8552856,-0.109842,-0.134649,1.085679,1.099497,9.093341,230.793762
2.8602600,-0.003562,-0.123609,0.952694,0.960686,7.395658,268.349396
2.8652344,-0.028398,-0.175011,0.788386,0.808077,12.674371,260.783447
2.8702087,-0.084060,-0.176234,1.060817,1.078637,10.429151,244.499710
2.8751831,-0.158589,-0.171429,1.143701,1.167301,11.540670,227.228104
2.8801575,-0.086407,-0.100092,0.865741,0.875781,8.683989,229.196640
2.8851316,-0.062090,-0.087638,0.831646,0.838553,7.358795,234.683121
2.8901060,-0.063034,-0.094810,0.976919,0.983530,6.647355,236.382233
2.8950803,-0.121551,-0.092069,1.044084,1.055160,8.309030,217.142258
2.9000549,-0.204423,-0.166033,0.980327,1.015084,15.036904,219.083664
2.9050293,-0.103710,-0.118427,0.965009,0.977764,9.264908,228.790527
2.9100037,-0.006589,-0.227014,1.082372,1.105942,11.850205,268.337524
2.9149780,0.057767,-0.102497,1.071959,1.078396,6.263565,299.405609
2.9199524,-0.189542,-0.265534,0.913364,0.969880,19.656134,234.480225
2.9249265,-0.199521,-0.103380,0.987290,1.012541,12.822460,207.390518
2.9299009,0.005918,-0.086249,1.208704,1.211792,4.091080,273.925507
2.9348752,0.057766,-0.261633,1.019119,1.053751,14.730143,282.450531
2.9398496,-0.150180,-0.156375,0.770223,0.800157,15.721496,226.157745
2.9448242,-0.264663,-0.135416,0.925928,0.972485,17.800642,207.096741
2.9497986,-0.039058,-0.182401,1.199814,1.214227,8.837069,257.913483
2.9547729,0.047196,-0.145201,1.013709,1.025143,8.565179,288.006348
2.9597473,-0.018410,-0.085443,1.056216,1.059826,4.730565,257.840576
2.9647217,-0.212831,-0.060929,0.910511,0.937038,13.665689,195.975372
2.9696958,-0.056148,-0.109695,0.986321,0.993990,7.121581,242.894180
2.9746702,-0.112901,-0.189501,1.120203,1.141715,11.139841,239.214386
2.9796445,-0.079344,-0.082337,1.013543,1.019973,6.436752,226.060394
2.9846191,-0.154750,-0.185180,0.989015,1.018033,13.712719,230.115463
2.9895935,-0.076929,-0.138570,0.954976,0.968039,9.423166,240.962769
2.9945679,-0.105250,-0.198036,0.865662,0.894240,14.524314,242.010773
2.9995422,-0.150734,-0.089531,0.821610,0.840107,12.045326,210.708847
3.0045166,-0.074558,-0.151734,1.139712,1.152183,8.437615,243.831711
3.0094910,0.113520,-0.223288,1.352741,1.375737,10.490701,296.948822
3.0144651,0.056832,-0.222025,1.094133,1.117878,11.830466,284.357849
3.0194395,-0.217411,-0.131534,0.851842,0.888933,16.609762,211.173981
3.0244138,-0.252725,-0.039976,0.981576,1.014376,14.610168,188.988602
3.0293884,-0.052123,-0.130387,0.968064,0.978195,8.253285,248.210846
3.0343628,0.128693,-0.113122,0.952077,0.967372,10.202204,318.684418
3.0393372,-0.069977,-0.179405,0.998827,1.017221,10.912498,248.691620
3.0443115,-0.221671,-0.134797,0.996800,1.030009,14.588761,211.303558
3.0492859,-0.111458,-0.188727,0.947877,0.972888,13.019919,239.434906
3.0542603,0.000835,-0.142422,0.986807,0.997031,8.212695,270.336029
3.0592344,-0.051345,-0.117574,1.025297,1.033293,7.132344,246.408920
3.0642087,-0.118919,-0.103553,1.096653,1.107931,8.182397,221.048859
3.0691831,-0.109275,-0.168019,1.149355,1.166700,9.891971,236.961090
3.0741577,-0.094594,-0.140782,1.027621,1.041524,9.372238,236.102264
3.0791321,-0.127947,-0.108050,0.918265,0.933411,10.335614,220.180740
3.0841064,-0.094363,-0.219809,0.970448,0.999495,13.846933,246.766281
3.0890808,0.095076,-0.173087,1.132673,1.149760,9.890042,298.779785
3.0940552,-0.073026,-0.306241,1.047977,1.094245,16.721045,256.587769
3.0990293,-0.156733,-0.079083,1.067126,1.081470,9.342139,206.774139
3.1040037,-0.186420,-0.120390,0.951094,0.976640,13.133621,212.854446
3.1089780,-0.045406,-0.130453,0.894996,0.905592,8.773485,250.808701
3.1139524,-0.094474,-0.065580,0.947885,0.954836,6.917754,214.766907
3.1189270,-0.090741,-0.139239,1.161262,1.173095,8.144735,236.908112
3.1239014,-0.127920,-0.137029,1.064191,1.080575,9.990229,226.968979
3.1288757,-0.016900,-0.094878,1.009524,1.014113,5.453089,259.900360
3.1338501,-0.072959,-0.217317,0.979796,1.006256,13.168295,251.441742
3.1388245,-0.117695,-0.045845,0.958101,0.966391,7.510108,201.282028
3.1437986,-0.187859,-0.187602,1.197508,1.226586,12.500442,224.960831
3.1487730,-0.124542,-0.073283,1.267996,1.276203,6.501467,210.473297
3.1537473,-0.030342,-0.171917,0.949775,0.965685,10.415049,259.990906
3.1587219,-0.023692,-0.037041,0.975130,0.976121,2.581871,237.396057
3.1636963,-0.193771,-0.136722,1.102016,1.127244,12.144666,215.206329
3.1686707,-0.139314,-0.108456,0.995956,1.011483,10.052382,217.900711
3.1736450,-0.073104,-0.244937,0.836611,0.874789,16.989723,253.381775
3.1786194,-0.060467,-0.037450,0.894053,0.896878,4.548509,211.771759
3.1835938,-0.215244,-0.104500,1.044410,1.071468,12.903550,205.896423
3.1885679,-0.108723,-0.083544,1.015468,1.024684,7.689879,217.538986
3.1935422,0.004287,-0.131866,0.937289,0.946530,8.012512,271.861938
3.1985166,-0.010031,-0.167640,0.970661,0.985082,9.815901,266.575714
3.2034912,-0.083143,-0.058948,1.306376,1.310346,4.460981,215.336517
3.2084656,-0.142845,-0.192780,1.197760,1.221556,11.327538,233.462616
3.2134399,-0.044700,-0.091403,0.827941,0.834170,7.006111,243.939468
3.2184143,-0.018815,-0.105301,0.930092,0.936223,6.560676,259.869690
3.2233887,-0.094374,-0.114156,1.238927,1.247749,6.817451,230.419067
3.2283628,-0.145803,-0.116447,1.173220,1.187967,9.037029,218.613037
3.2333372,-0.113083,-0.172420,0.851663,0.876268,13.609911,236.740768
3.2383115,-0.031076,-0.085146,0.944262,0.948603,5.482979,249.949265
3.2432859,-0.099047,-0.109079,1.070151,1.080246,7.839170,227.759750
3.2482605,-0.128379,-0.106718,0.881488,0.897157,10.724108,219.735855
3.2532349,-0.074051,-0.176179,0.765507,0.789002,14.017381,247.202179
3.2582092,0.051958,-0.143807,1.079160,1.089939,8.064554,289.864807
3.2631836,-0.025374,-0.022646,1.302953,1.303397,1.495279,221.748230
3.2681580,-0.115415,-0.110311,0.957074,0.970299,9.470523,223.704834
3.2731321,-0.074161,-0.044832,0.789449,0.794191,6.264379,211.153885
3.2781065,-0.016379,-0.189711,1.331526,1.345073,8.138514,265.065613
3.2830808,-0.008056,-0.075732,1.274838,1.277111,3.418790,263.928345
3.2880552,-0.140270,-0.116475,0.872933,0.891771,11.797455,219.705002
3.2930298,-0.130434,-0.063440,0.663365,0.679037,12.333503,205.937164
3.2980042,0.024405,-0.166826,0.977651,0.992083,9.784763,278.322662
3.3029785,-0.040721,-0.119117,1.128391,1.135391,6.365657,251.126480
3.3079529,-0.201253,-0.142650,0.877744,0.911749,15.697506,215.329453
3.3129272,-0.146278,-0.112994,0.793633,0.814873,13.110486,217.684860
3.3179014,0.085874,-0.007250,1.205205,1.208282,4.090027,355.174255
3.3228757,-0.140742,-0.189142,0.911556,0.941551,14.500929,233.346848
3.3278501,-0.082928,-0.015869,0.855156,0.859314,5.638715,190.832779
3.3328247,-0.205294,-0.215326,0.978482,1.022711,16.911911,226.366348
3.3377991,0.103750,-0.006424,1.056367,1.061469,5.619985,356.456940
3.3427734,-0.020812,-0.151998,0.945247,0.957616,9.218892,262.203522
3.3477478,-0.172381,-0.058228,1.032740,1.048646,9.991921,198.664185
3.3527222,-0.218090,-0.017945,1.092094,1.113802,11.330528,184.703842
3.3576965,-0.064904,-0.102831,0.874041,0.882459,7.920403,237.741287
3.3626707,0.015237,-0.050351,1.084155,1.085430,2.777983,286.836670
3.3676450,-0.127603,-0.186106,1.131143,1.153431,11.281754,235.563629
3.3726194,-0.040458,-0.121168,0.821310,0.831185,8.840780,251.535706
3.3775940,-0.111661,-0.082796,0.801712,0.813674,9.836713,216.556519
3.3825684,-0.144943,-0.127488,1.139314,1.155550,9.616215,221.333984
3.3875427,-0.135394,-0.160154,1.146957,1.165972,10.361811,229.788742
3.3925171,0.005542,-0.126682,0.901676,0.910549,8.005060,272.504944
3.3974915,-0.016100,-0.077314,0.976965,0.980152,4.621478,258.236603
3.4024656,-0.071881,-0.039668,1.123932,1.126927,4.177905,208.892456
3.4074399,-0.166532,-0.058410,0.920125,0.936897,10.857393,199.327820
3.4124143,-0.155315,-0.077204,0.756934,0.776551,12.906012,206.431091
3.4173887,-0.057279,-0.105267,1.047776,1.054608,6.524951,241.448120
3.4223633,0.049331,-0.144857,1.324769,1.333578,6.589130,288.806030
3.4273376,-0.118395,-0.160046,1.196737,1.213182,9.444710,233.507660
3.4323120,-0.235105,-0.059699,0.937552,0.968423,14.505660,194.247696
3.4372864,-0.126127,-0.035867,0.849677,0.859735,8.773015,195.874161
3.4422607,0.007013,-0.139262,1.048098,1.057333,7.578129,272.883057
3.4472349,0.024263,-0.158169,1.154459,1.165496,7.891428,278.721222
3.4522092,-0.221755,-0.163854,0.932108,0.972033,16.478533,216.460571
3.4571836,-0.204598,-0.087541,0.778755,0.809928,15.948006,203.164566
3.4621580,0.043313,-0.154296,1.105111,1.116671,8.251334,285.680023
3.4671326,0.019332,-0.228734,1.237517,1.258627,10.508485,274.831116
3.4721069,-0.176209,0.033534,0.972478,0.988882,10.450599,169.225113
3.4770813,-0.141515,-0.028645,0.815483,0.828167,10.040401,191.442963
