Keuwl Accelerometer Data File
2019-04-14 17-18-43

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,0.006018,0.288631,0.855757,0.903141,18.642057,88.805550
0.0049744,0.015268,0.278085,0.846690,0.891318,18.207699,86.857353
0.0099487,0.012193,0.257068,0.840339,0.878864,17.027388,87.284431
0.0149231,0.015976,0.249252,0.845429,0.881550,16.458607,86.332634
0.0198975,0.009319,0.250734,0.861602,0.897392,16.236092,87.871567
0.0248718,0.007912,0.274363,0.893734,0.934932,17.072369,88.348076
0.0298462,0.025690,0.272401,0.937636,0.976742,16.267685,84.612503
0.0348206,0.022618,0.278505,0.978031,1.017163,15.944537,85.357162
0.0397949,0.031473,0.305104,1.002093,1.047984,17.018440,84.110565
0.0447693,0.031325,0.313956,1.013953,1.061909,17.284744,84.302193
0.0497437,0.031062,0.312381,1.002535,1.050535,17.386749,84.321381
0.0547180,0.036049,0.312996,0.980532,1.029907,17.813307,83.430031
0.0596924,0.038205,0.317675,0.943024,0.995827,18.741863,83.142380
0.0646667,0.038145,0.316123,0.896783,0.951634,19.548159,83.119591
0.0696411,0.036820,0.309049,0.856043,0.910866,19.979921,83.205788
0.0746155,0.039699,0.295115,0.829661,0.881480,19.743555,82.338486
0.0795898,0.042981,0.290776,0.814737,0.866137,19.838083,81.591660
0.0845642,0.047238,0.296098,0.819717,0.872836,20.091911,80.935623
0.0895386,0.041068,0.288656,0.848634,0.897323,18.961006,81.902664
0.0945129,0.054120,0.286122,0.889965,0.936394,18.118006,79.289085
0.0994873,0.069578,0.298826,0.927051,0.976505,18.312626,76.892998
0.1044617,0.077106,0.306843,0.946166,0.997662,18.489113,75.894348
0.1094360,0.076011,0.306495,0.945242,0.996594,18.473061,76.071632
0.1144104,0.065333,0.308741,0.943139,0.994536,18.500429,78.051872
0.1193848,0.062793,0.314169,0.940467,0.993541,18.812120,78.697266
0.1243591,0.064690,0.313062,0.932177,0.985467,18.928619,78.324844
0.1293335,0.069929,0.298167,0.925239,0.974608,18.314724,76.800972
0.1343078,0.065314,0.281609,0.925711,0.969799,17.342741,76.942162
0.1392822,0.070259,0.281063,0.930506,0.974564,17.293915,75.965103
0.1442566,0.073087,0.281511,0.935835,0.979989,17.264503,75.446060
0.1492310,0.073729,0.275103,0.941993,0.984108,16.822683,74.997009
0.1542053,0.067198,0.265430,0.946989,0.985777,16.126215,75.793159
0.1591797,0.061936,0.266889,0.950895,0.989579,16.073273,76.934875
0.1641540,0.056742,0.263230,0.949440,0.986888,15.834194,77.835411
0.1691284,0.049936,0.261417,0.939442,0.976414,15.817401,79.185692
0.1741028,0.043893,0.258983,0.933902,0.970140,15.709543,80.380836
0.1790771,0.036162,0.256326,0.922880,0.958498,15.668600,81.969757
0.1840515,0.038113,0.260151,0.914367,0.951419,16.042665,81.665314
0.1890259,0.034797,0.252580,0.902241,0.937575,15.779859,82.156059
0.1940002,0.029802,0.239477,0.892432,0.924485,15.131599,82.906219
0.1989746,0.023005,0.216110,0.886308,0.912565,13.777613,83.923767
0.2039490,0.021527,0.226122,0.878718,0.907601,14.493453,84.561752
0.2089233,0.025724,0.227785,0.878527,0.907941,14.624066,83.556900
0.2138977,0.015439,0.223209,0.882897,0.910807,14.220437,86.043198
0.2188721,0.015461,0.221105,0.889059,0.916270,13.998631,86.000038
0.2238464,0.020169,0.227703,0.904184,0.932632,14.188134,84.938110
0.2288208,0.023887,0.236675,0.915963,0.946347,14.558196,84.236847
0.2337952,0.026494,0.248241,0.920617,0.953866,15.172442,83.908127
0.2387695,0.023557,0.255113,0.918375,0.953441,15.587440,84.724289
0.2437439,0.025856,0.257385,0.906823,0.942997,15.921336,84.263527
0.2487182,0.022768,0.247457,0.883712,0.917987,15.706112,84.743034
0.2536926,0.022254,0.230582,0.857427,0.888169,15.118786,84.487434
0.2586670,0.023257,0.220990,0.832273,0.861426,14.948800,83.992340
0.2636414,0.023121,0.218250,0.814424,0.843478,15.081857,83.952629
0.2686157,0.024061,0.222652,0.803224,0.833859,15.579127,83.832253
0.2735901,0.024357,0.225390,0.800715,0.832189,15.808140,83.832329
0.2785645,0.028040,0.232971,0.809843,0.843154,16.158962,83.137047
0.2835388,0.032843,0.240723,0.822393,0.857529,16.458330,82.230850
0.2885132,0.044317,0.247738,0.835964,0.873026,16.754686,79.857765
0.2934875,0.054840,0.252801,0.848669,0.887217,16.951639,77.760536
0.2984619,0.058910,0.259333,0.866477,0.906370,17.062315,77.201782
0.3034363,0.066153,0.266348,0.884481,0.926080,17.238249,76.051727
0.3084106,0.069263,0.270779,0.898358,0.940833,17.281952,75.651787
0.3133850,0.072004,0.273050,0.912098,0.954810,17.202465,75.227234
0.3183593,0.071550,0.268800,0.929797,0.970513,16.655195,75.094505
0.3233337,0.073239,0.266851,0.946729,0.986342,16.293119,74.652710
0.3283081,0.075925,0.271241,0.952601,0.993371,16.472006,74.362091
0.3332824,0.075770,0.275755,0.949518,0.991648,16.761202,74.635880
0.3382568,0.067963,0.274453,0.939748,0.981362,16.744993,76.091576
0.3432312,0.058431,0.276323,0.922559,0.964823,17.021484,78.060089
0.3482056,0.043824,0.282076,0.904226,0.948215,17.520683,81.168938
0.3531799,0.033448,0.287036,0.884565,0.930572,18.091707,83.353363
0.3581543,0.024831,0.280589,0.860649,0.905573,18.123001,84.942749
0.3631287,0.016321,0.272064,0.847088,0.889856,17.835709,86.566933
0.3681030,0.015357,0.265080,0.842380,0.883237,17.495234,86.684410
0.3730774,0.010670,0.261098,0.847836,0.887194,17.130089,87.659798
0.3780517,0.008500,0.255400,0.863954,0.900954,16.477257,88.093742
0.3830261,0.009141,0.253982,0.886581,0.922288,15.995429,87.938705
0.3880005,0.008194,0.256943,0.911384,0.946946,15.752181,88.173439
0.3929748,0.001383,0.257996,0.941505,0.976215,15.324560,89.692917
0.3979492,-0.007261,0.254403,0.970890,1.003694,14.688893,91.634796
0.4029236,-0.011341,0.252977,0.995360,1.027067,14.273904,92.566780
0.4078979,-0.016306,0.254637,1.005554,1.037422,14.238235,93.663918
0.4128723,-0.017914,0.271605,1.003401,1.039666,15.177505,93.773521
0.4178467,-0.023940,0.278082,0.988600,1.027245,15.765900,94.920380
0.4228210,-0.025564,0.272459,0.961864,1.000034,15.881337,95.360100
0.4277954,-0.033930,0.262075,0.938790,0.975275,15.721483,97.376915
0.4327697,-0.024727,0.254508,0.915443,0.950485,15.606354,95.549156
0.4377441,-0.024111,0.242413,0.894801,0.927370,15.229607,95.680054
0.4427185,-0.028813,0.241282,0.874280,0.907421,15.532659,96.809769
0.4476928,-0.038293,0.244775,0.866604,0.901324,15.954641,98.891411
0.4526672,-0.035932,0.250236,0.863084,0.899346,16.325651,98.171379
0.4576416,-0.028085,0.260216,0.871544,0.909995,16.715157,96.160034
0.4626160,-0.014927,0.269920,0.885584,0.925926,16.975307,93.165421
0.4675903,-0.002000,0.268449,0.898250,0.937508,16.639627,90.426918
0.4725647,0.005200,0.269000,0.913987,0.952765,16.402815,88.892601
0.4775391,0.006177,0.273971,0.928809,0.968393,16.438429,88.708496
0.4825134,0.002272,0.279273,0.944474,0.984901,16.473030,89.533783
0.4874878,-0.005026,0.285087,0.953093,0.994829,16.655327,91.009918
0.4924621,-0.007797,0.288926,0.960552,1.003095,16.746616,91.545891
0.4974365,-0.008001,0.298753,0.965874,1.011054,17.193110,91.534119
0.5024109,-0.007066,0.306770,0.967311,1.014814,17.600143,91.319550
0.5073853,-0.005825,0.315505,0.965575,1.015831,18.097887,91.057716
0.5123596,-0.002150,0.319229,0.959618,1.011325,18.400766,90.385811
0.5173340,0.001098,0.315481,0.947770,0.998898,18.410955,89.800560
0.5223083,0.001531,0.309984,0.933088,0.983232,18.377340,89.717102
0.5272827,-0.001453,0.305950,0.917644,0.967305,18.439016,90.272064
0.5322571,-0.005489,0.302127,0.906039,0.955101,18.444284,91.040848
0.5372314,-0.006662,0.295909,0.897610,0.945151,18.249763,91.289703
0.5422058,-0.009087,0.286985,0.892869,0.937901,17.826754,91.813553
0.5471801,-0.012317,0.282182,0.891776,0.935437,17.574465,92.499420
0.5521545,-0.015873,0.278587,0.890983,0.933656,17.389572,93.261040
0.5571289,-0.020941,0.273083,0.889233,0.930456,17.118862,94.385033
0.5621033,-0.022188,0.271140,0.887618,0.928372,17.039780,94.678276
0.5670776,-0.016407,0.267399,0.883924,0.923630,16.861132,93.511078
0.5720520,-0.028273,0.267421,0.883373,0.923397,16.930988,96.035179
0.5770264,-0.022258,0.263762,0.887646,0.926273,16.604803,94.823616
0.5820007,-0.021841,0.260569,0.901360,0.938522,16.177334,94.791435
0.5869751,-0.015674,0.259584,0.922188,0.958154,15.748470,93.455406
0.5919494,-0.010513,0.259063,0.942080,0.977108,15.387815,92.323868
0.5969238,-0.008098,0.268309,0.967659,1.004201,15.504143,91.728668
0.6018981,0.002935,0.285137,0.989028,1.029314,16.083113,89.410240
0.6068726,0.008314,0.289936,0.996705,1.038053,16.225729,88.357521
0.6118469,0.018779,0.296221,0.991208,1.034695,16.670250,86.372627
0.6168213,0.027666,0.292457,0.979888,1.022975,16.688324,84.595894
0.6217957,0.024756,0.278089,0.955009,0.994982,16.295847,84.912788
0.6267700,0.014550,0.282022,0.929095,0.971064,16.906532,87.046722
0.6317444,0.010886,0.274478,0.904523,0.945314,16.892952,87.728699
0.6367187,0.004539,0.258969,0.885450,0.922554,16.305046,88.995918
0.6416931,0.009056,0.265584,0.874817,0.914287,16.896900,88.047119
0.6466674,0.006156,0.281309,0.868101,0.912563,17.959015,88.746292
0.6516418,0.008230,0.286962,0.867687,0.913945,18.307116,88.357262
0.6566162,0.003193,0.286823,0.871647,0.917631,18.215305,89.362129
0.6615906,0.002988,0.294254,0.874959,0.923118,18.588972,89.418213
0.6665649,0.003220,0.297327,0.880768,0.929605,18.654522,89.379570
0.6715393,0.001881,0.289541,0.890174,0.936080,18.018156,89.627876
0.6765137,0.011250,0.285504,0.905465,0.949477,17.513445,87.743401
0.6814880,0.021056,0.281793,0.920024,0.962442,17.073952,85.726738
0.6864624,0.030350,0.283159,0.935138,0.977539,16.937225,83.882263
0.6914367,0.034597,0.272795,0.954343,0.993169,16.073557,82.771996
0.6964111,0.032250,0.268622,0.968347,1.005432,15.610060,83.153915
0.7013854,0.030119,0.274979,0.976127,1.014566,15.822137,83.749107
0.7063599,0.023263,0.281613,0.977824,1.017834,16.118246,85.277718
0.7113342,0.018633,0.282064,0.976959,1.017033,16.137535,86.220657
0.7163086,0.012714,0.275568,0.975530,1.013784,15.789902,87.358376
0.7212829,0.011330,0.283030,0.968577,1.009146,16.301334,87.707657
0.7262573,0.012493,0.295835,0.955871,1.000681,17.211365,87.581818
0.7312316,0.013408,0.293241,0.935675,0.980641,17.418104,87.382095
0.7362061,0.012482,0.282566,0.916937,0.959569,17.143093,87.470604
0.7411804,0.008594,0.279211,0.896175,0.938702,17.312584,88.237068
0.7461548,0.010936,0.281449,0.879096,0.923116,17.765419,87.774780
0.7511292,0.012016,0.273226,0.861513,0.903882,17.612179,87.481911
0.7561035,0.014279,0.258903,0.853640,0.892152,16.896383,86.843254
0.7610779,0.012293,0.255666,0.859858,0.897147,16.577162,87.247307
0.7660522,0.013360,0.262201,0.876466,0.914943,16.675322,87.083199
0.7710266,0.017688,0.262369,0.902977,0.940488,16.236580,86.143066
0.7760009,0.026578,0.259594,0.932071,0.967911,15.640592,84.154327
0.7809753,0.022866,0.261519,0.959311,0.994582,15.304415,85.002953
0.7859496,0.021067,0.269544,0.982406,1.018931,15.387325,85.531013
0.7909241,0.024764,0.275210,0.987443,1.025377,15.633534,84.858246
0.7958984,0.029278,0.275624,0.975612,1.014221,15.860032,83.936554
0.8008728,0.016013,0.275397,0.953234,0.992348,16.140238,86.672241
0.8058472,0.012177,0.275791,0.925880,0.966159,16.602413,87.471756
0.8108215,0.007891,0.269032,0.897214,0.936714,16.698299,88.320000
0.8157959,0.017446,0.258958,0.877040,0.914638,16.485201,86.145859
0.8207702,0.015688,0.249924,0.869028,0.904388,16.074654,86.408173
0.8257446,0.026755,0.252069,0.878869,0.914694,16.088696,83.941216
0.8307189,0.030322,0.252027,0.901608,0.936661,15.724357,83.139656
0.8356934,0.038080,0.269787,0.937132,0.975936,16.211205,81.965836
0.8406677,0.047612,0.276304,0.976995,1.016430,16.012325,80.222992
0.8456421,0.054141,0.280563,1.001802,1.041756,15.919468,79.077621
0.8506164,0.046806,0.287736,1.015551,1.056564,16.016373,80.760620
0.8555908,0.038516,0.289054,1.008589,1.049899,16.125919,82.410202
0.8605652,0.023179,0.284322,0.988866,1.029190,16.091654,85.339333
0.8655395,0.024845,0.284649,0.962151,1.003682,16.539896,85.011711
0.8705139,0.030793,0.284367,0.923868,0.967132,17.202534,83.819771
0.8754882,0.040091,0.272151,0.884596,0.926382,17.274420,81.619881
0.8804626,0.028320,0.255452,0.856429,0.894163,16.704645,83.673935
0.8854370,0.012680,0.259473,0.843128,0.882243,17.124952,87.202301
0.8904114,0.004329,0.272288,0.848409,0.891043,17.795570,89.089203
0.8953857,0.016484,0.276453,0.874741,0.917534,17.567858,86.587585
0.9003601,0.031655,0.267215,0.911374,0.950268,16.449276,83.244171
0.9053344,0.036294,0.268015,0.949196,0.986977,15.904222,82.287949
0.9103088,0.027488,0.273307,0.987108,1.024614,15.550426,84.256836
0.9152832,0.021602,0.277110,1.015901,1.053238,15.301633,85.542572
0.9202575,0.013142,0.275372,1.029704,1.065970,14.988427,87.267693
0.9252319,0.009350,0.283897,1.025680,1.064286,15.479505,88.113739
0.9302062,0.005584,0.296640,1.005814,1.048660,16.434845,88.921577
0.9351807,0.003319,0.289441,0.974548,1.016627,16.542450,89.342964
0.9401550,0.008742,0.258752,0.939033,0.974070,15.414022,88.065094
0.9451294,0.001587,0.242369,0.906406,0.938252,14.970709,89.624947
0.9501037,0.008452,0.255912,0.883415,0.919775,16.163845,88.108330
0.9550781,-0.004971,0.254229,0.868496,0.904954,16.318954,91.120209
0.9600524,-0.010381,0.253145,0.864859,0.901206,16.327776,92.348267
0.9650269,-0.006702,0.267155,0.877544,0.917333,16.937098,91.437134
0.9700012,0.005237,0.296075,0.899985,0.947450,18.212704,88.986626
0.9749756,0.022944,0.310033,0.922819,0.973777,18.617748,85.767509
0.9799500,0.023478,0.297414,0.954088,0.999645,17.364243,85.486465
0.9849243,0.024840,0.289749,0.988457,1.030349,16.394287,85.099998
0.9898987,0.037491,0.292435,1.013997,1.055990,16.212269,82.694458
0.9948730,0.033328,0.303967,1.013968,1.059074,16.782089,83.742844
0.9998474,0.041034,0.330963,1.017016,1.070300,18.155218,82.932358
1.0048218,0.042274,0.315644,1.014588,1.063394,17.426180,82.371887
1.0097961,0.047677,0.302665,0.997383,1.043386,17.077034,81.048088
1.0147705,0.061533,0.293104,0.977346,1.022205,17.036913,78.143768
1.0197449,0.057640,0.305510,0.938293,0.988459,18.332441,79.315773
1.0247192,0.038642,0.310735,0.926672,0.978146,18.670435,82.911346
1.0296936,0.019035,0.306506,0.926212,0.975795,18.343534,86.446236
1.0346680,0.025402,0.309775,0.940262,0.990302,18.291931,85.312195
1.0396423,0.041908,0.319615,0.958507,1.011259,18.588051,82.529976
1.0446167,0.043339,0.329185,0.977857,1.032688,18.754646,82.499840
1.0495911,0.035069,0.320296,0.991031,1.042095,18.010702,83.751656
1.0545654,0.029846,0.316275,0.991468,1.041120,17.766191,84.609192
1.0595398,0.031151,0.322878,0.986607,1.038564,18.199862,84.489273
1.0645142,0.036462,0.319299,0.972607,1.024327,18.284880,83.485313
1.0694885,0.023391,0.303844,0.956104,1.003495,17.678875,85.597931
1.0744628,0.013607,0.288956,0.941295,0.984742,17.083080,87.303932
1.0794373,0.001089,0.283058,0.931702,0.973751,16.899261,89.779610
1.0844116,0.002898,0.287064,0.931489,0.974724,17.128963,89.421646
1.0893860,0.002464,0.288192,0.937616,0.980910,17.086277,89.510178
1.0943602,0.000341,0.297417,0.944791,0.990499,17.473852,89.934380
1.0993346,0.005772,0.301587,0.951679,0.998339,17.586462,88.903526
1.1043091,0.007956,0.297215,0.952856,0.998166,17.329596,88.466637
1.1092834,-0.002016,0.294157,0.952403,0.996797,17.164085,90.392639
1.1142578,-0.002654,0.298732,0.942043,0.988277,17.595015,90.508934
1.1192321,-0.004383,0.299526,0.933657,0.980536,17.788540,90.838394
1.1242065,-0.005304,0.298814,0.934633,0.981252,17.732370,91.016907
1.1291809,-0.002003,0.294667,0.942606,0.987592,17.360100,90.389542
1.1341553,0.008987,0.290587,0.950798,0.994253,17.002096,88.228523
1.1391295,0.026109,0.290706,0.960919,1.004270,16.895985,84.867798
1.1441040,0.034118,0.301234,0.962644,1.009252,17.480482,83.538101
1.1490784,0.036926,0.312692,0.962839,1.013014,18.108603,83.265099
1.1540527,0.040636,0.291273,0.951137,0.995567,17.181747,82.057899
1.1590270,0.034406,0.275573,0.933886,0.974303,16.561043,82.883263
1.1640013,0.048780,0.277206,0.918545,0.960701,17.036377,80.019844
1.1689758,0.041028,0.280732,0.890913,0.934997,17.664261,81.685364
1.1739502,0.038632,0.282841,0.881597,0.926663,17.942316,82.222305
