Keuwl Accelerometer Data File
2019-04-16 00-50-42

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,-0.051947,-0.171720,1.015370,1.031098,10.020126,253.168961
0.0049744,-0.052084,-0.172939,1.021518,1.037361,10.026680,253.239410
0.0099487,-0.049055,-0.172816,1.007167,1.023063,10.113243,254.153000
0.0149231,-0.053834,-0.170444,0.993632,1.009581,10.197807,252.471680
0.0198975,-0.059396,-0.166335,0.988997,1.004644,10.125527,250.349091
0.0248718,-0.057912,-0.170506,0.990711,1.006943,10.301696,251.240143
0.0298462,-0.059592,-0.168351,1.005741,1.021473,10.068901,250.507370
0.0348206,-0.048106,-0.170780,1.025594,1.040828,9.814939,254.268219
0.0397949,-0.044470,-0.173854,1.019635,1.035306,9.981583,255.652039
0.0447693,-0.045000,-0.170044,1.011729,1.026906,9.862805,255.177170
0.0497437,-0.054361,-0.166364,0.996774,1.012023,9.958879,251.904816
0.0547180,-0.060758,-0.164860,0.992177,1.007614,10.042125,249.768936
0.0596924,-0.056052,-0.166649,1.005002,1.020266,9.923351,251.409897
0.0646667,-0.050790,-0.168352,1.018159,1.033233,9.798900,253.212158
0.0696411,-0.048402,-0.172752,1.018186,1.033871,9.992984,254.348145
0.0746155,-0.049856,-0.173190,1.013960,1.029852,10.078605,253.940430
0.0795898,-0.053650,-0.170006,0.999253,1.015031,10.115324,252.485474
0.0845642,-0.058704,-0.166215,0.990166,1.005735,10.094478,250.547882
0.0895386,-0.062272,-0.166434,0.995259,1.010999,10.123429,249.486572
0.0945129,-0.055678,-0.168094,1.013518,1.028870,9.910322,251.673431
0.0994873,-0.048806,-0.174810,1.026940,1.042855,10.022677,254.400482
0.1044617,-0.049072,-0.173014,1.022880,1.038569,9.971589,254.164948
0.1094360,-0.054358,-0.168620,1.007430,1.022889,9.973935,252.132309
0.1144104,-0.062208,-0.168744,0.994535,1.010666,10.250217,249.763474
0.1193848,-0.064529,-0.166335,0.991569,1.007492,10.200102,248.796509
0.1243591,-0.052790,-0.168634,1.006921,1.022309,9.953428,252.617569
0.1293335,-0.043319,-0.168022,1.029754,1.044270,9.564662,255.543091
0.1343078,-0.047416,-0.177829,1.025097,1.041487,10.178229,255.070206
0.1392822,-0.048495,-0.172952,1.016263,1.032015,10.023345,254.336624
0.1442566,-0.054594,-0.170121,0.993702,1.009636,10.192829,252.207840
0.1492310,-0.062388,-0.166861,0.974993,0.991134,10.354384,249.499466
0.1542053,-0.061489,-0.167259,0.995551,1.011375,10.148443,249.815048
0.1591797,-0.052749,-0.173902,1.012886,1.029059,10.171463,253.125977
0.1641540,-0.045697,-0.173888,1.028321,1.043920,9.917364,255.275833
0.1691284,-0.044975,-0.175215,1.027184,1.042991,9.987826,255.603745
0.1741028,-0.052350,-0.169037,1.013719,1.029048,9.901906,252.792557
0.1790771,-0.061065,-0.168018,0.990658,1.006659,10.229278,250.026733
0.1840515,-0.061460,-0.165139,0.986811,1.002419,10.123993,249.586197
0.1890259,-0.058106,-0.170066,0.999839,1.015863,10.189992,251.136322
0.1940002,-0.048674,-0.169880,1.022238,1.037400,9.807825,254.011856
