Keuwl Accelerometer Data File
2019-04-14 19-26-23

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
0.0000000,-0.019737,0.858602,0.146456,0.871227,80.322418,91.316841
0.0049744,-0.029457,0.862731,0.119933,0.871526,82.090263,91.955528
0.0099487,-0.038211,0.860152,0.088478,0.865535,84.132797,92.543594
0.0149231,-0.046122,0.853347,0.063667,0.856961,85.739349,93.093712
0.0198975,-0.056983,0.843366,0.052135,0.846895,86.470634,93.865395
0.0248718,-0.070071,0.831697,0.051569,0.836235,86.464455,94.815811
0.0298462,-0.084413,0.828546,0.057979,0.834851,86.017715,95.817291
0.0348206,-0.092817,0.834222,0.068773,0.842182,85.315956,96.348740
0.0397949,-0.097454,0.846608,0.087101,0.856638,84.164207,96.566483
0.0447693,-0.094597,0.859059,0.106962,0.870845,82.944778,96.283905
0.0497437,-0.082741,0.865173,0.119580,0.877309,82.166008,95.462891
0.0547180,-0.063381,0.865495,0.124018,0.876630,81.867020,94.188332
0.0596924,-0.042936,0.864302,0.123963,0.874202,81.847885,92.843956
0.0646667,-0.031620,0.864112,0.129303,0.874305,81.495193,92.095680
0.0696411,-0.029769,0.862000,0.139911,0.873788,80.786125,91.977936
0.0746155,-0.036990,0.855601,0.151064,0.869622,79.996300,92.475494
0.0795898,-0.061066,0.859291,0.183247,0.880732,77.991188,94.064941
0.0845642,-0.073573,0.866172,0.194259,0.890732,77.403145,94.855103
0.0895386,-0.066936,0.872090,0.187772,0.894584,77.883598,94.389076
0.0945129,-0.050004,0.873017,0.188063,0.894442,77.862595,93.278160
0.0994873,-0.037506,0.873804,0.186629,0.894299,77.954590,92.457787
0.1044617,-0.028338,0.872664,0.190376,0.893638,77.699768,91.859940
0.1094360,-0.028195,0.878894,0.195792,0.900879,77.447517,91.837448
0.1144104,-0.033509,0.883193,0.199022,0.905959,77.309692,92.172783
0.1193848,-0.038794,0.885795,0.205521,0.910152,76.949532,92.507706
0.1243591,-0.046003,0.882048,0.208702,0.907569,76.705475,92.985573
0.1293335,-0.047094,0.881435,0.212139,0.907827,76.486290,93.058319
0.1343078,-0.049047,0.875201,0.210703,0.901542,76.484146,93.207573
0.1392822,-0.049845,0.869373,0.204373,0.894462,76.791992,93.281456
0.1442566,-0.050847,0.862146,0.196322,0.885677,77.193268,93.375244
0.1492310,-0.046467,0.854077,0.182444,0.874581,77.959229,93.114166
0.1542053,-0.039251,0.853994,0.160598,0.869850,79.360573,92.631577
0.1591797,-0.031575,0.858709,0.131229,0.869252,81.317009,92.105850
0.1641540,-0.020664,0.860691,0.105679,0.867400,83.002022,91.375320
