Keuwl Accelerometer Data File
2019-04-15 21-55-02

Time (s), X (g), Y (g), Z (g), R (g), Theta (deg), Phi (deg)
46.9182129,-0.086129,-0.043974,1.046390,1.050850,5.280159,207.046844
46.9231834,-0.055722,-0.076877,1.070795,1.074996,5.067205,234.064819
46.9281616,-0.048141,-0.084052,1.052657,1.057104,5.257398,240.198288
46.9331322,-0.052076,-0.093845,1.016089,1.021742,6.029549,240.973618
46.9381104,-0.084367,-0.074116,0.976104,0.982542,6.562888,221.299393
46.9430847,-0.085860,-0.082444,0.924073,0.931708,7.340053,223.837341
46.9480553,-0.071461,-0.073984,0.976275,0.981679,6.014543,225.993759
46.9530334,-0.040410,-0.099694,1.062391,1.067823,5.781775,247.935211
46.9580040,-0.065353,-0.120236,1.059943,1.068741,7.356794,241.474258
46.9629822,-0.078982,-0.077028,1.003468,1.009515,6.274043,224.282547
46.9679527,-0.121165,-0.070540,0.876732,0.887871,9.085559,210.207291
46.9729309,-0.080755,-0.059643,0.937334,0.942695,6.113306,216.448410
46.9779015,-0.095228,-0.070680,1.091234,1.097659,6.202354,216.583588
46.9828796,-0.063816,-0.104282,1.044275,1.051407,6.677526,238.535187
46.9878540,0.003848,-0.045391,1.077925,1.078887,2.419941,274.845856
46.9928246,-0.091125,-0.054160,0.990146,0.995804,6.110804,210.725143
46.9978027,-0.098670,-0.071959,0.990463,0.997964,7.029005,216.102753
47.0027733,-0.183104,-0.073731,1.030690,1.049421,10.841645,201.933212
47.0077515,-0.085057,-0.052752,0.986436,0.991501,5.793628,211.807175
47.0127220,-0.056153,-0.050024,1.036163,1.038889,4.151147,221.696625
47.0177002,-0.088927,-0.103747,1.071778,1.080454,7.265606,229.398422
47.0226707,-0.019423,-0.068787,1.026762,1.029247,3.982167,254.232544
47.0276489,-0.067232,-0.116185,0.996729,1.005727,7.670152,239.943512
47.0326233,-0.119053,-0.008488,0.896080,0.903994,7.586955,184.078064
47.0375938,-0.135526,-0.042459,0.996525,1.006594,8.111014,197.395096
47.0425720,-0.085277,-0.100420,1.182013,1.189332,6.359771,229.662186
47.0475426,0.028508,-0.088303,1.092098,1.096033,4.856558,287.892212
47.0525208,-0.051908,-0.077121,0.954373,0.958890,5.563487,236.056808
47.0574913,-0.116651,-0.011454,0.969659,0.976718,6.892445,185.608002
47.0624695,-0.150514,-0.041194,0.935866,0.948787,9.466619,195.306366
47.0674400,-0.021062,-0.077933,0.975502,0.978836,4.730855,254.876663
47.0724182,0.002792,-0.036665,1.055118,1.055758,1.995864,274.354645
47.0773926,-0.150319,-0.066426,1.006851,1.020175,9.270251,203.840805
47.0823631,-0.118298,-0.058623,0.985335,0.994141,7.631726,206.360687
47.0873413,-0.033355,-0.067444,0.929918,0.932957,4.625799,243.684967
47.0923119,-0.015441,-0.064759,0.941809,0.944159,4.043364,256.589081
47.0972900,-0.075561,-0.054387,1.033445,1.037630,5.147650,215.745438
47.1022606,-0.086941,-0.073580,1.036437,1.042677,6.271261,220.241867
47.1072388,-0.023524,-0.061777,1.000468,1.002649,3.780252,249.153458
47.1122093,-0.031824,-0.029272,0.981954,0.982905,2.521346,222.607681
47.1171875,-0.119631,-0.009138,0.971299,0.978681,7.041802,184.368118
47.1221619,-0.102379,-0.063110,0.977267,0.984640,7.015848,211.651291
47.1271324,-0.001680,-0.062189,1.003666,1.005592,3.546961,268.452698
47.1321106,-0.032638,-0.022235,0.945315,0.946140,2.392283,214.265274
47.1370811,-0.104020,-0.024596,0.885414,0.891843,6.883503,193.303589
47.1420593,-0.078778,-0.047403,0.956751,0.961158,5.489051,211.036728
47.1470299,0.006536,-0.080822,0.994339,0.997640,4.661990,274.623352
47.1520081,0.002621,-0.105741,1.014235,1.019736,5.953843,271.419830
47.1569786,-0.048105,-0.021703,1.054048,1.055368,2.866350,204.282959
47.1619568,-0.146679,-0.012977,0.939588,0.951057,8.906930,185.055908
47.1669312,-0.062395,-0.041101,0.934653,0.937634,4.570418,213.373795
47.1719017,0.060625,-0.075913,1.061987,1.066421,5.226822,308.611084
47.1768799,-0.000563,-0.047176,1.061991,1.063039,2.543760,269.316193
47.1818504,-0.103212,-0.052479,0.954198,0.961198,6.918775,206.951263
47.1868286,-0.089587,-0.052303,0.896599,0.902580,6.599805,210.277466
47.1917992,0.032984,-0.027018,1.057793,1.058652,2.308341,320.678833
47.1967773,-0.096317,-0.077877,0.963022,0.970955,7.329032,218.957367
47.2017479,-0.018424,-0.045811,1.119035,1.120124,2.526542,248.091003
47.2067261,-0.063816,-0.040797,1.072298,1.074969,4.040409,212.590591
47.2117004,0.003441,-0.020795,0.886271,0.886522,1.362287,279.394897
47.2166710,-0.047480,-0.087291,0.935350,0.940613,6.064141,241.457184
47.2216492,-0.085662,-0.061824,1.055166,1.060441,5.717380,215.818542
47.2266197,-0.015673,-0.054322,1.024600,1.026159,3.158333,253.906509
47.2315979,-0.015498,-0.059229,1.057342,1.059113,3.313871,255.336380
47.2365685,-0.016446,-0.052532,1.039469,1.040925,3.031316,252.616714
47.2415466,-0.140630,-0.057327,0.972966,0.984747,8.871414,202.178024
47.2465172,-0.044591,-0.027903,0.981834,0.983242,3.066756,212.036270
47.2514954,-0.033803,-0.045087,0.998214,0.999803,3.231073,233.140533
47.2564697,-0.063168,-0.071065,1.079440,1.083620,5.033766,228.366852
47.2614403,-0.113741,-0.063609,1.027461,1.035692,7.228599,209.216003
47.2664185,-0.029438,-0.075902,1.030069,1.033281,4.518914,248.801529
47.2713890,0.063073,-0.050142,1.008961,1.012173,4.566002,321.515503
47.2763672,-0.021230,-0.047797,0.945558,0.947003,3.165824,246.050491
47.2813377,-0.126376,-0.066179,0.992733,1.002930,8.177381,207.639618
47.2863159,-0.095247,-0.068833,1.096391,1.102671,6.117857,215.854691
47.2912865,0.000972,-0.050290,1.062341,1.063532,2.710867,271.107422
47.2962646,0.001664,-0.017065,0.975861,0.976012,1.006582,275.570435
47.3012390,-0.016600,-0.021824,1.032196,1.032560,1.521485,232.743317
47.3062096,-0.067496,-0.075510,1.033130,1.038083,5.598917,228.207306
47.3111877,-0.039161,-0.096827,1.003747,1.009166,5.940659,247.979462
47.3161583,-0.090901,-0.067258,0.960053,0.966690,6.717555,216.498062
47.3211365,-0.101960,-0.073060,0.970005,0.978081,7.368201,215.623734
47.3261070,-0.086473,-0.075124,1.011289,1.017756,6.462261,220.982895
47.3310852,-0.017127,-0.064714,1.026512,1.028692,3.731191,255.176208
47.3360558,-0.011218,-0.050024,0.990557,0.991882,2.962732,257.360687
47.3410339,-0.043614,-0.038004,1.044754,1.046355,3.169347,221.067673
47.3460083,0.014439,-0.036728,1.039371,1.040120,2.174479,291.461334
47.3509789,-0.045499,-0.061533,0.975754,0.978750,4.484497,233.519531
47.3559570,-0.081128,-0.078445,0.977122,0.983618,6.588118,224.036697
47.3609276,-0.106057,-0.071992,0.971881,0.980297,7.513478,214.168671
47.3659058,0.002036,-0.033916,1.007131,1.007704,1.932291,273.435455
47.3708763,-0.015956,-0.069046,0.992058,0.994586,4.085859,256.988037
